13,8:-4, -14, 10, 10, 8, 6, -2, -12, 12, -4
4,-3:-4, -12, 0, -10, -16, -12, -16, -20, -18, -6
4,-3:-4, -12, 0, -10, -16, -12, -16, -20, -6, -18
4,-3:-4, -12, 0, -10, -16, -12, -16, -20, -6, -16
4,-3:-4, -12, 0, -10, -16, -12, -16, -20, -6, -14
-5,-10:-4, -6, -8, -16, -10, -16, -22, -14, 2, -20
-4,-17:-4, -6, -6, -14, 6, -2, 10, 22, 4, 0
-4,-17:-4, -6, -6, -14, 6, -2, 10, 22, 4, 2
-4,-17:-4, -6, -6, -14, 6, -2, 10, 22, 4, 4
-1,0:-4, -6, -6, 0, 0, 0, -10, -2, 4, 2
-1,0:-4, -6, -6, 0, 0, 0, -2, 4, 2, -10
-1,0:-4, -6, -6, 0, 0, 0, -2, 4, 2, -8
12,3:-4, 0, -12, -10, 8, 10, -12, -2, 2, 12
19,12:-4, 0, -8, -2, -4, -2, -6, 4, -6, 4
19,12:-4, 0, -8, -2, -4, -2, -6, 4, -6, 6
19,12:-4, 0, -8, -2, -4, -2, -6, 4, -6, 8
19,12:-4, 0, -8, -2, -4, -2, -6, 4, 4, -6
0,3:-4, 2, 6, -8, -4, 6, 10, -12, -4, 4
28,14:-4, 4, -10, 0, -6, -10, -2, 6, -4, -4
28,14:-4, 4, -10, 0, -6, -10, -2, 6, -4, -2
-5,6:6, 6, 2, -2, 8, 12, 14, 12, 8, 18
-5,6:6, 6, 2, -2, 8, 12, 14, 12, 8, 24
-5,6:6, 6, 2, -2, 8, 12, 14, 12, 8, 28
-5,8:6, 6, 8, 8, 0, -6, 12, 14, 14, -2
-5,8:6, 6, 8, 8, 0, 12, -4, 4, 14, 14
