10,-5:-4, -6, -8, -20
5,-5:-4, -6, 6, -2, -4, 14
5,-5:-4, -6, 6, -2, -4, 16
5,-5:-4, -6, 6, -2, -4, 18
5,-5:-4, -6, 6, -2, 14, -4
10,-5:-4, -4, -8, -20, -2, 0
10,-5:-4, -4, -8, -20, 4, 2
10,-5:-4, -4, -8, -20, 4, 4
10,-5:-4, -4, -8, -20, 4, 6
10,-5:-4, -4, -8, -20, 6, 0
10,-5:-4, -4, -8, -20, 6, 10
10,-5:-4, -4, -8, -20, 8, 8
-4,-3:-4, 0, -8, -10, 4, 14
-4,-3:-4, 0, -8, 4, 14, -10
-4,-3:-4, 0, -8, 4, 14, -6
7,3:-4, 4, 4, 4, -14, 8
7,3:-4, 4, 4, 4, 8, -14
13,-2:6, -4, -4, -6, -8, -20
0,0:6, 6, -2, 12, 12, 16
-3,-10:-4, -6, -6, -4, -4, -4, 4
-3,-10:-4, -6, -6, -4, -4, -4, 6
-3,-10:-4, -6, -6, -4, -4, -4, 8
-3,-1:-4, -6, -6, 2, 8, 8, 8
12,-9:-4, -6, 0, -8, -12, -14, -26
5,-5:-4, -6, 6, -2, -4, 22, 16
5,-5:-4, -6, 6, -2, -4, 22, 18
5,-5:-4, -6, 6, -2, -4, 22, 20
10,-5:-4, -4, -8, -20, -4, 8, 6
10,-5:-4, -4, -8, -20, -2, 8, 8
10,-5:-4, -4, -8, -20, 2, 8, 8
10,-5:-4, -4, -8, -20, 4, -2, 0
10,-5:-4, -4, -8, -20, 4, -2, 2
10,-5:-4, -4, -8, -20, 4, -2, 4
10,-5:-4, -4, -8, -20, 8, 12, 0
10,-5:-4, -4, -8, -20, 10, 6, 2
10,-5:-4, -4, -8, -20, 10, 6, 4
10,-5:-4, -4, -8, -20, 10, 6, 6
7,0:-4, -4, -6, -2, -8, -30, -10
7,0:-4, -4, -6, -2, -8, -10, -30
2,-2:-4, 0, -12, 8, 8, 2, 16
2,-2:-4, 0, -12, 8, 8, 16, 2
-4,-3:-4, 0, -8, -10, 4, 10, 8
-4,-3:-4, 0, -8, -10, 4, 12, 12
-4,-3:-4, 0, -8, -10, 4, 12, 18
-4,-3:-4, 0, -8, 4, -4, 14, -12
-4,-3:-4, 0, -8, 4, -4, 14, -10
-4,-3:-4, 0, -8, 4, -4, 14, -8
-3,1:-4, 0, -8, 6, 10, 0, 10
1,1:-4, 0, 4, -4, 2, -10, -2
1,1:-4, 0, 4, -4, 2, -10, 4
-4,0:-4, 0, 6, 4, -6, -12, -2
-4,0:-4, 0, 6, 4, -6, -12, 0
-4,0:-4, 0, 6, 4, -6, -12, 2
2,-2:-4, 0, 8, 8, 2, 16, -12
2,-2:-4, 0, 8, 8, 2, 16, -10
2,-2:-4, 0, 8, 8, 2, 16, -8
4,-6:-4, 2, 6, 0, 14, -16, -16
4,-6:-4, 2, 6, 0, 14, -16, -14
4,-6:-4, 2, 6, 0, 14, -16, -12
4,-6:-4, 2, 6, 0, 14, -12, -14
4,-6:-4, 2, 6, 0, 14, -12, -12
12,-5:-4, 4, -10, -6, -14, -12, -8
19,-12:-4, 4, -4, -16, -16, -18, -20
1,7:6, 6, 2, 10, 6, 14, 14
-1,-1:6, 6, 8, 6, 12, 2, 6
24,1:-4, -14, -12, 14, -12, -14, -16, -28
4,3:-4, -14, -8, 10, 10, 8, 6, -6
-9,5:-4, -14, -8, 20, 12, 26, 26, 30
6,5:-4, -14, 10, -2, 6, 0, 12, 4
6,5:-4, -14, 10, -2, 6, 0, 12, 8
6,5:-4, -14, 10, -2, 6, 0, 12, 14
11,3:-4, -14, 14, -2, -10, 4, 4, 8
10,6:-4, -12, -14, -4, -4, -6, 6, 2
6,-1:-4, -12, -14, -4, 6, -12, 4, 12
6,-1:-4, -12, -14, -4, 6, -12, 4, 16
6,-1:-4, -12, -14, -4, 6, -12, 4, 22
4,-5:-4, -12, -6, -2, -4, -6, -6, -10
-3,4:-4, -12, -6, -2, -4, 6, 8, 8
6,-2:-4, -12, -6, 0, -8, -4, 10, -2
10,-5:-4, -12, 0, -4, -8, -8, -20, 0
10,-5:-4, -12, 0, -4, -8, -8, -20, 2
9,27:-4, -12, 0, -2, 6, 12, 18, 28
10,-5:-4, -12, 4, 4, -6, -8, -20, -4
10,-5:-4, -12, 4, 4, -6, -8, -20, -2
10,-5:-4, -12, 4, 4, -6, -8, -20, 0
5,-13:-4, -6, -14, 6, -2, -16, -12, -4
5,-13:-4, -6, -14, 6, -2, -16, -12, 0
5,-13:-4, -6, -14, 6, -2, -16, -4, -12
18,-11:-4, -6, -8, -20, -20, -20, -22, -34
3,-7:-4, -6, -8, -10, -2, -8, -2, -8
-3,-10:-4, -6, -6, -4, -4, -4, 0, 2
-3,-10:-4, -6, -6, -4, -4, -4, 0, 4
-3,-10:-4, -6, -6, -4, -4, -4, 0, 6
-5,-4:-4, -6, -6, 2, 8, -10, -18, -4
-5,-4:-4, -6, -6, 2, 8, -10, -4, -18
-5,-4:-4, -6, -6, 2, 8, -10, -4, -14
11,-8:-4, -6, -4, -6, -8, -10, -12, -24
-3,-5:-4, -6, 0, -2, -30, -4, -12, -4
-3,-5:-4, -6, 0, -2, -30, -4, -12, 2
17,-1:-4, -6, 0, -2, -14, -20, -28, -20
17,-1:-4, -6, 0, -2, -14, -20, -28, -14
0,-2:-4, -6, 6, -8, -20, -6, 0, 4
0,-2:-4, -6, 6, -8, -8, 0, 4, -18
0,-2:-4, -6, 6, -8, -8, 0, 4, -12
5,-5:-4, -6, 6, -2, -4, 12, 10, 18
5,-5:-4, -6, 6, -2, -4, 22, 12, 14
5,-5:-4, -6, 6, -2, -4, 22, 12, 16
5,-5:-4, -6, 6, -2, -4, 22, 12, 18
-4,5:-4, -6, 6, 0, -8, -4, 0, 14
-1,21:-4, -6, 6, 6, 12, 0, 8, 14
-1,21:-4, -6, 6, 6, 12, 0, 14, 8
-1,21:-4, -6, 6, 6, 12, 0, 16, 6
10,-5:-4, -4, -8, -20, -4, -4, 2, 2
10,-5:-4, -4, -8, -20, -4, -4, 2, 6
10,-5:-4, -4, -8, -20, -4, 8, 8, -2
10,-5:-4, -4, -8, -20, -4, 8, 8, 0
10,-5:-4, -4, -8, -20, -4, 8, 8, 6
10,-5:-4, -4, -8, -20, -4, 10, -2, 8
10,-5:-4, -4, -8, -20, -4, 10, 14, 2
10,-5:-4, -4, -8, -20, -2, 8, 2, 4
10,-5:-4, -4, -8, -20, -2, 8, 2, 6
