-3,-3:-4, -6, -4, -10, 0
5,-6:-4, -6, 6, -2, 14
5,-6:-4, -6, 6, -2, 16
5,-6:-4, -6, 6, -2, 18
-3,-2:-4, -6, -6, 2, 8, 8
5,-6:-4, -6, 6, -2, 22, 16
5,-6:-4, -6, 6, -2, 22, 18
5,-6:-4, -6, 6, -2, 22, 20
2,-3:-4, 0, -12, 8, 8, 16
-3,0:-4, 0, -8, 6, 10, 0
0,-8:-4, 0, 4, 6, -18, -8
2,-3:-4, 0, 8, 8, 16, -12
2,-3:-4, 0, 8, 8, 16, -10
2,-3:-4, 0, 8, 8, 16, -8
5,-1:-4, 4, -8, -16, 2, -6
-4,6:6, 6, 8, -4, 4, -16
-4,6:6, 6, 8, -4, 4, -14
-4,6:6, 6, 8, -4, 4, -12
-1,-2:6, 6, 8, 6, 12, 2
10,5:-4, -12, -14, -4, -4, -6, 6
5,-6:-4, -12, 4, 6, 4, -2, 0
5,-6:-4, -12, 4, 6, 4, -2, 2
5,-14:-4, -6, -14, 6, -2, -16, -4
5,-14:-4, -6, -14, 6, -2, -16, 0
5,-14:-4, -6, -14, 6, -2, -4, -16
5,-14:-4, -6, -14, 6, -2, -4, -6
4,2:-4, -6, -8, -10, -20, -2, -8
4,2:-4, -6, -8, -10, -20, -2, -6
4,2:-4, -6, -8, -10, -20, -2, -4
4,2:-4, -6, -8, -10, -2, -8, -20
4,2:-4, -6, -8, -10, -2, -8, -10
-2,-2:-4, -6, -6, 0, -6, -6, 0
0,-3:-4, -6, 6, -8, -20, -6, 0
0,-3:-4, -6, 6, -8, -8, 0, -18
0,-3:-4, -6, 6, -8, -8, 0, -12
5,-6:-4, -6, 6, -2, 12, 10, 18
5,-6:-4, -6, 6, -2, 22, 12, 14
5,-6:-4, -6, 6, -2, 22, 12, 16
5,-6:-4, -6, 6, -2, 22, 12, 18
6,13:-4, 0, -16, 0, 10, 8, 0
2,-3:-4, 0, -12, 8, 8, 12, 14
2,-3:-4, 0, -12, 8, 8, 12, 16
2,-3:-4, 0, -12, 8, 8, 12, 18
2,-3:-4, 0, -12, 8, 8, 14, 18
4,12:-4, 0, 6, 2, -2, -10, -2
4,12:-4, 0, 6, 2, -2, -2, -10
4,12:-4, 0, 6, 2, -2, -2, -6
16,13:-4, 0, 8, -6, -12, -14, 6
2,-3:-4, 0, 8, 8, 16, -16, -14
2,-3:-4, 0, 8, 8, 16, -16, -12
2,-3:-4, 0, 8, 8, 16, -16, -10
2,14:-4, 2, 6, 0, 4, -10, 2
2,14:-4, 2, 6, 0, 4, -2, -2
2,14:-4, 2, 6, 0, 4, 0, -2
2,14:-4, 2, 6, 0, 4, 6, -4
4,-2:-4, 2, 6, 0, 14, -4, -6
-14,-4:-4, 2, 6, 10, 0, 14, 10
36,-8:-4, 4, -10, 2, -16, -26, -8
36,-8:-4, 4, -10, 2, -16, -26, -6
36,-8:-4, 4, -10, 2, -16, -26, -4
5,-6:-4, 4, -8, 6, -2, 14, -10
5,-6:-4, 4, -8, 6, -2, 14, -8
19,-12:-4, 4, -4, -10, -18, -28, -20
9,0:-4, 4, -2, -14, 6, 2, 6
0,0:6, -4, -4, -6, -4, -10, 0
8,-3:6, -4, -4, -6, 6, -2, 14
8,-3:6, -4, -4, -6, 6, -2, 16
8,-3:6, -4, -4, -6, 6, -2, 18
1,6:6, 6, -2, 10, 0, 18, 8
-1,3:6, 6, 2, -6, -6, -14, 10
-1,3:6, 6, 2, -6, -6, -14, 12
-1,3:6, 6, 2, -6, -6, -14, 14
-1,3:6, 6, 2, -6, -6, 10, -14
2,-2:6, 6, 2, -4, -8, 10, 2
-6,1:6, 6, 2, -2, -4, 20, 10
-4,6:6, 6, 8, -4, 4, -20, -18
-4,6:6, 6, 8, -4, 4, -20, -16
-4,6:6, 6, 8, -4, 4, -20, -14
0,-2:6, 6, 8, 8, 0, -6, -6
-13,11:-4, -14, -8, 20, 22, 10, 18, -2
-13,11:-4, -14, -8, 20, 22, 10, 18, 0
-13,11:-4, -14, -8, 20, 22, 10, 18, 2
-10,3:-4, -14, -8, 20, 22, 20, 26, 16
7,9:-4, -14, 14, -2, 0, -12, -4, -24
7,9:-4, -14, 14, -2, 0, -12, -4, -22
7,9:-4, -14, 14, -2, 0, -12, -4, -20
10,1:-4, -14, 14, -2, 0, -2, 4, -6
-9,9:-4, -12, -14, -4, 4, 2, -4, 8
-9,9:-4, -12, -14, -4, 4, 2, -4, 18
-9,9:-4, -12, -14, -4, 4, 2, 8, -4
-9,9:-4, -12, -14, -4, 4, 2, 8, 0
-4,11:-4, -12, -14, -4, 6, 18, 4, -4
-1,-3:-4, -12, -6, -2, -4, 8, -8, -2
-4,11:-4, -12, -4, 6, -8, 18, 4, 6
-4,11:-4, -12, -4, 6, 18, 4, -4, -14
-4,11:-4, -12, -4, 6, 18, 4, -4, -4
6,-12:-4, -12, 4, -6, -14, -8, -2, -12
0,-3:-4, -12, 4, 6, -8, -18, 0, -20
0,-3:-4, -12, 4, 6, -8, -18, 0, -10
5,-6:-4, -12, 4, 6, 4, -2, 6, 0
5,-6:-4, -12, 4, 6, 4, -2, 6, 2
5,-6:-4, -12, 4, 6, 4, -2, 6, 4
2,-3:-4, -6, -14, 2, 6, 10, 8, -2
-7,-11:-4, -6, -14, 6, -4, 4, 18, 6
3,-3:-4, -6, -8, -6, -2, -10, -16, -6
-9,-1:-4, -6, -6, -16, 0, -4, -2, 8
-2,8:-4, -6, -6, -4, 2, -8, 0, 10
-2,8:-4, -6, -6, -4, 2, 0, 10, -8
-2,8:-4, -6, -6, -4, 2, 0, 10, -6
-2,8:-4, -6, -6, -4, 2, 0, 10, -4
-6,2:-4, -6, -6, -4, 8, 4, 10, 4
-9,-1:-4, -6, -6, 0, -4, -2, 8, -16
-9,-1:-4, -6, -6, 0, -4, -2, 8, -12
-6,-4:-4, -6, -6, 2, -10, -18, -4, 2
-6,-4:-4, -6, -6, 2, -10, -4, 2, -18
-6,-4:-4, -6, -6, 2, -10, -4, 2, -14
3,18:-4, -6, -6, 2, 2, -6, 12, 8
11,-20:-4, -6, -6, 4, -6, -14, -28, -16
11,-20:-4, -6, -6, 4, -6, -14, -28, -12
11,-20:-4, -6, -6, 4, -6, -14, -16, -28
11,-20:-4, -6, -6, 4, -6, -14, -16, -18
-1,-7:-4, -6, 0, -8, -12, -10, -16, -6
7,-10:-4, -6, 0, -8, -12, 0, -8, 8
7,-10:-4, -6, 0, -8, -12, 0, -8, 10
7,-10:-4, -6, 0, -8, -12, 0, -8, 12
7,-20:-4, -6, 0, -2, -30, -16, -14, -24
27,-16:-4, -6, 0, -2, -14, -32, -30, -40
0,-3:-4, -6, 6, -8, -20, -20, 0, -8
0,-3:-4, -6, 6, -8, -20, -10, 0, -14
0,-3:-4, -6, 6, -8, -20, -8, 0, -20
0,-3:-4, -6, 6, -8, -20, -8, 0, -18
0,-3:-4, -6, 6, -8, -20, -8, 0, -16
0,-3:-4, -6, 6, -8, -12, -12, 0, -12
0,-3:-4, -6, 6, -8, -12, -12, 0, -10
0,-3:-4, -6, 6, -8, -10, -20, 0, -12
0,-3:-4, -6, 6, -8, -10, -20, 0, -10
0,-3:-4, -6, 6, -8, -10, -20, 0, -8
0,-3:-4, -6, 6, -8, -8, -16, 0, -20
0,-3:-4, -6, 6, -8, -8, -16, 0, -18
0,-3:-4, -6, 6, -8, -8, -16, 0, -16
4,8:-4, -6, 6, -8, -2, -10, -20, -6
4,8:-4, -6, 6, -8, -2, -10, -6, -20
4,8:-4, -6, 6, -8, -2, -10, -6, -10
16,-4:-4, -6, 6, -8, 0, 2, -10, -10
5,-6:-4, -6, 6, -2, 12, 10, 2, 12
5,-6:-4, -6, 6, -2, 12, 10, 2, 16
