16,-2:-4, -4, -8, 8, -8
6,14:-4, 4, 4, -6, 2
5,-4:-4, -6, 6, 10, 0, 6
5,-4:-4, -6, 6, 10, 0, 8
5,-4:-4, -6, 6, 10, 0, 10
5,-4:-4, -6, 6, 10, 6, 0
5,-4:-4, -6, 6, 10, 6, 2
13,2:-4, -4, -8, -10, -20, -8
13,2:-4, -4, -8, -10, -8, -20
16,-2:-4, -4, -8, -2, 8, -8
6,14:-4, 4, 4, -6, -14, -4
6,14:-4, 4, 4, -6, -14, 0
6,14:-4, 4, 4, -6, -4, -4
6,14:-4, 4, 4, -6, -4, -2
6,14:-4, 4, 4, -6, 0, -14
6,14:-4, 4, 4, -6, 0, -4
15,8:6, 6, -2, -2, 8, 0
-1,18:6, 6, 6, -6, 10, 10
5,-4:-4, -6, 6, 10, 0, 2, 4
5,-4:-4, -6, 6, 10, 0, 2, 6
5,-4:-4, -6, 6, 10, 0, 2, 8
5,-4:-4, -6, 6, 10, 6, 6, 0
5,-4:-4, -6, 6, 10, 6, 6, 2
5,-4:-4, -6, 6, 10, 6, 6, 4
5,-4:-4, -6, 6, 10, 12, 22, 12
5,-4:-4, -6, 6, 10, 12, 22, 14
5,-4:-4, -6, 6, 10, 12, 22, 16
10,-1:-4, 0, -12, -6, 8, 12, 0
6,14:-4, 4, 4, -6, -14, -2, 2
6,14:-4, 4, 4, -6, -14, 2, 2
6,14:-4, 4, 4, -6, -6, -14, -4
6,14:-4, 4, 4, -6, -4, -10, -4
6,14:-4, 4, 4, -6, -4, -8, -10
6,14:-4, 4, 4, -6, -4, -6, -6
6,14:-4, 4, 4, -6, -4, -6, -4
6,14:-4, 4, 4, -6, -4, -6, -2
6,14:-4, 4, 4, -6, -4, 0, -10
6,14:-4, 4, 4, -6, -4, 0, -4
6,14:-4, 4, 4, -6, -4, 0, -2
6,14:-4, 4, 4, 6, 6, -6, -2
19,1:6, -4, -4, -4, -8, 8, -8
9,17:6, -4, -4, 4, 4, -6, 2
15,8:6, 6, -2, -2, 8, 2, 6
15,8:6, 6, -2, -2, 8, 2, 16
15,8:6, 6, -2, -2, 8, 6, 4
15,8:6, 6, -2, -2, 8, 6, 6
15,8:6, 6, -2, -2, 8, 16, 2
15,8:6, 6, -2, -2, 8, 16, 6
-1,18:6, 6, 6, -6, 4, 10, 10
3,15:6, 6, 6, 10, 12, 10, 22
3,15:6, 6, 6, 10, 12, 22, 10
-3,7:6, 6, 8, -4, -8, -8, 0
-3,7:6, 6, 8, -4, -8, -8, 2
-3,7:6, 6, 8, -4, -8, 2, -8
-3,7:6, 6, 8, -4, -8, 2, -6
-3,7:6, 6, 8, -4, -8, 2, -4
6,13:-4, -14, -8, 20, 12, 12, 22, 14
-10,23:-4, -14, -8, 20, 20, 8, 24, 24
26,11:-4, -14, 14, -2, -10, -10, 0, -8
10,21:-4, -14, 14, -2, -2, -14, 2, 2
6,-2:-4, -12, -14, 0, -4, -4, -8, -6
4,5:-4, -12, -6, -14, 8, -2, 6, 14
-2,8:-4, -6, -6, -4, 2, 0, -10, 6
18,-6:-4, -6, 0, -8, -10, -14, 2, -14
8,10:-4, -6, 0, -8, -2, -2, -12, -4
-3,4:-4, -6, 6, -8, -12, -24, -20, -4
-3,4:-4, -6, 6, -8, -12, -24, -16, -4
-3,4:-4, -6, 6, -8, -12, -16, -4, -24
-3,4:-4, -6, 6, -8, -12, -16, -4, -22
-3,4:-4, -6, 6, -8, -12, -16, -4, -20
-3,4:-4, -6, 6, -8, -12, -4, -24, -12
-3,4:-4, -6, 6, -8, -12, -4, -12, -24
-3,4:-4, -6, 6, -8, -12, -4, -8, -20
-3,4:-4, -6, 6, -8, -12, -4, -8, -18
-3,4:-4, -6, 6, -8, -12, -4, -2, -16
5,-4:-4, -6, 6, 10, 0, 2, 12, 6
5,-4:-4, -6, 6, 10, 0, 2, 12, 8
5,-4:-4, -6, 6, 10, 0, 2, 12, 10
5,-4:-4, -6, 6, 10, 0, 12, 14, 6
-9,10:-4, -6, 6, 10, 12, 14, 4, 6
16,-2:-4, -4, -8, 2, -6, 8, 4, -8
0,2:-4, -4, -6, -2, 8, 2, 8, -2
6,-7:-4, -4, -4, 10, 10, 4, 0, 14
6,-7:-4, -4, -4, 10, 10, 4, 0, 18
6,-7:-4, -4, -4, 10, 10, 4, 14, 0
6,-7:-4, -4, -4, 10, 10, 4, 14, 2
6,-7:-4, -4, -4, 10, 10, 10, 14, 4
6,-7:-4, -4, -4, 10, 10, 10, 14, 6
6,-7:-4, -4, -4, 10, 10, 10, 14, 8
6,-7:-4, -4, -4, 10, 10, 10, 16, 8
-2,5:-4, 0, -12, -12, -6, 6, 10, 0
-3,5:-4, 0, -12, -4, 10, 8, -2, 6
-3,5:-4, 0, -12, -4, 10, 8, -2, 8
-3,5:-4, 0, -12, -4, 10, 8, 6, -2
0,-12:-4, 0, -12, 0, 8, 2, -4, 0
2,-5:-4, 0, -4, 8, -6, -14, -14, 4
-3,5:-4, 0, -4, 10, 8, -2, 6, -12
-3,5:-4, 0, -4, 10, 8, -2, 6, -10
-3,5:-4, 0, -4, 10, 8, -2, 6, -8
-4,4:-4, 0, -2, -4, -14, -22, -16, -2
3,13:-4, 0, 2, 6, 8, -4, -8, -10
3,13:-4, 0, 2, 6, 8, -4, -8, -6
