2,-3:-4, -6, -4, 0
3,-5:-4, -6, -4, -10, -6
5,-8:-4, 0, 4, 6, -8
10,-1:-4, 4, -8, -6, 2
10,-1:-4, 4, -8, 2, -6
-1,3:6, 6, 8, 6, 2
4,-8:-4, -6, 6, 10, -4, -2
6,-10:-4, 0, 4, 6, -18, -14
17,-2:-4, 0, 8, -2, -6, 18
17,-2:-4, 0, 8, -2, 18, -6
17,-2:-4, 0, 8, -2, 18, -4
-9,-4:-4, 2, 6, 10, 14, 10
11,-3:-4, 4, -8, -16, -12, 2
11,-3:-4, 4, -8, -16, 2, -12
10,-1:-4, 4, -8, -4, -6, -2
2,-3:-4, 4, -8, -4, 0, -10
2,-3:-4, 4, -8, -4, 0, -8
5,0:6, -4, -4, -6, -4, 0
1,11:6, 6, -2, 10, 0, 8
1,11:6, 6, -2, 10, 8, 0
-6,6:6, 6, 2, -2, -4, 10
-3,4:6, 6, 8, 6, 12, 8
-10,8:-4, -14, -8, 20, 22, 20, 16
10,6:-4, -14, 14, -2, 0, -2, -6
2,-3:-4, -12, 0, -8, -4, 0, -14
2,-3:-4, -12, 0, -8, -4, 0, -12
2,-3:-4, -12, 0, -8, -4, 0, -10
2,2:-4, -6, -14, 2, 6, 10, -2
8,-3:-4, -6, -8, -6, -2, -10, -6
-4,-1:-4, -6, -6, -16, 0, -4, 8
-4,-1:-4, -6, -6, -14, 2, 8, -8
3,8:-4, -6, -6, -4, 2, -8, 10
3,8:-4, -6, -6, -4, 2, 10, -8
3,8:-4, -6, -6, -4, 2, 10, -6
3,8:-4, -6, -6, -4, 2, 10, -4
-4,-1:-4, -6, -6, 0, -4, 8, -16
-4,-1:-4, -6, -6, 0, -4, 8, -12
4,-7:-4, -6, 0, -8, -12, -10, -6
7,-15:-4, -6, 0, -2, -30, -16, -24
27,-11:-4, -6, 0, -2, -14, -32, -40
-2,3:-4, -6, 6, -8, -20, -6, 6
-2,3:-4, -6, 6, -8, -20, 6, -6
-2,3:-4, -6, 6, -8, -12, 6, -14
-2,3:-4, -6, 6, -8, -8, 6, -18
-2,3:-4, -6, 6, -8, -8, 6, -12
4,-8:-4, -6, 6, 10, -4, -6, 6
4,-8:-4, -6, 6, 10, -4, -6, 8
4,-8:-4, -6, 6, 10, -4, -6, 10
4,-8:-4, -6, 6, 10, -4, 6, -6
4,-8:-4, -6, 6, 10, -4, 6, -4
4,-8:-4, -6, 6, 10, -4, 6, -2
11,6:-4, -4, -8, -12, -14, 0, 8
11,6:-4, -4, -8, -12, -14, 0, 10
11,6:-4, -4, -8, -12, -14, 6, 0
11,6:-4, -4, -8, -12, 0, 8, -14
3,-5:-4, -4, 4, -4, -10, -6, 2
