-8,-6:-4, -6, -6, -4, -10, 2
-8,-6:-4, -6, -6, -4, -10, 4
-8,-6:-4, -6, -6, -4, -10, 6
4,-7:-4, -6, -4, -8, -12, -8
3,4:-4, -6, 6, 10, -10, -2
5,-3:-4, -4, 2, 8, -12, -14
4,14:-4, 0, -8, -10, 4, 0
4,14:-4, 0, -8, -10, 4, 2
4,14:-4, 0, -8, 4, -4, -2
4,14:-4, 0, -8, 4, -2, -4
4,14:-4, 0, -8, 4, 0, -10
4,14:-4, 0, -8, 4, 0, -6
-4,3:-4, 0, -2, -10, 6, 10
-4,3:-4, 0, -2, 6, 10, -10
-4,3:-4, 0, -2, 6, 10, -6
9,5:-4, 4, -10, -6, 2, 4
5,8:-4, -12, -14, 0, -10, -14, -6
-4,-3:-4, -12, -8, -14, -14, 2, 4
8,-10:-4, -12, 4, -6, -14, -8, -12
4,-4:-4, -6, -6, -14, 0, 2, 0
-8,-6:-4, -6, -6, -4, -10, 10, 4
-8,-6:-4, -6, -6, -4, -10, 10, 6
-8,-6:-4, -6, -6, -4, -10, 10, 8
-2,0:-4, -6, -6, -4, -8, 8, 4
-2,0:-4, -6, -6, -4, 8, 4, -8
0,-7:-4, -6, -6, 0, 2, -2, -4
13,-11:-4, -6, -6, 2, -10, -12, 0
-2,-4:-4, -6, 6, 6, 12, 16, 0
14,-4:-4, -4, -8, -12, -12, -16, 6
14,-4:-4, -4, -8, -12, -12, -16, 8
14,-4:-4, -4, -8, -12, -12, -16, 10
14,-4:-4, -4, -8, -12, -12, 6, -16
5,-3:-4, -4, 2, 8, -12, -18, -12
5,-3:-4, -4, 2, 8, -12, -16, -20
5,-3:-4, -4, 2, 8, -12, -16, -18
2,-16:-4, -4, 2, 12, 14, -8, -16
10,-6:-4, 0, -12, -12, -6, 8, -8
2,-5:-4, 0, -12, -6, -6, -14, -14
-2,1:-4, 0, -8, -4, -10, -6, 8
4,14:-4, 0, -8, 4, -4, 0, -12
4,14:-4, 0, -8, 4, -4, 0, -10
4,14:-4, 0, -8, 4, -4, 0, -8
8,6:-4, 0, -2, -4, -14, 4, -20
-4,3:-4, 0, -2, -4, 6, 10, -12
-4,3:-4, 0, -2, -4, 6, 10, -10
-4,3:-4, 0, -2, -4, 6, 10, -8
7,9:-4, 0, 4, 4, -8, -12, 2
7,9:-4, 0, 4, 4, -8, 2, -12
7,9:-4, 0, 4, 4, -8, 2, -10
7,9:-4, 0, 4, 4, -8, 2, -8
7,-12:-4, 0, 4, 6, -16, -20, -16
-1,-1:-4, 4, -10, -6, -14, -4, -2
-1,-1:-4, 4, -10, -6, -14, -4, 2
12,-5:-4, 4, -8, -14, -18, -14, 2
12,-5:-4, 4, -8, -14, -18, 2, -14
-9,-4:-4, 4, -8, -14, -12, -6, 8
-9,-4:-4, 4, -8, -14, -12, 8, -6
-9,-4:-4, 4, -8, -14, -12, 8, -4
-9,-4:-4, 4, -8, -14, -12, 8, -2
4,4:-4, 4, -8, -14, 0, -12, -6
23,-5:-4, 4, -8, -14, 0, -6, -36
27,-10:-4, 4, -8, -14, 0, -6, -24
3,-2:-4, 4, -2, -12, -2, -2, -12
7,8:-4, 4, 4, 4, 6, 8, 16
8,9:6, 6, -2, 12, 8, 0, -2
6,-4:6, 6, 2, 4, -4, -8, 8
6,-4:6, 6, 2, 4, -4, -8, 12
6,-4:6, 6, 2, 4, -4, 8, -8
17,4:6, 6, 2, 10, -2, 0, 8
17,4:6, 6, 2, 10, -2, 0, 12
17,4:6, 6, 2, 10, -2, 4, 6
17,4:6, 6, 2, 10, -2, 6, 4
17,4:6, 6, 2, 10, -2, 8, 0
17,4:6, 6, 2, 10, -2, 8, 2
0,5:6, 6, 6, -6, 0, 14, 16
7,3:6, 6, 8, -4, -8, 10, 4
-4,4:6, 6, 8, 6, 10, 14, 10
-3,-8:6, 6, 8, 8, 6, 12, -4
-3,-8:6, 6, 8, 8, 6, 12, -2
-3,-8:6, 6, 8, 8, 6, 12, 0
2,-13:-4, -12, -8, -14, -22, 2, 4, -20
2,-9:-4, -12, -8, -14, -22, 2, 4, -14
2,-9:-4, -12, -8, -14, -22, 2, 4, -8
2,-9:-4, -12, -8, -14, 2, 4, -14, -18
2,-9:-4, -12, -8, -14, 2, 4, -14, -16
2,-9:-4, -12, -8, -14, 2, 4, -14, -14
2,-9:-4, -12, -8, -14, 2, 4, -8, -22
2,-9:-4, -12, -8, -14, 2, 4, -8, -20
2,-9:-4, -12, -8, -14, 2, 4, -8, -18
14,1:-4, -12, -8, -2, -14, -8, -20, -10
3,-12:-4, -12, -8, -2, -14, -8, -18, -12
14,1:-4, -12, -8, -2, -14, -8, -10, -20
14,1:-4, -12, -8, -2, -14, -8, -10, -18
0,-17:-4, -12, -8, 2, 0, -28, -18, -14
-2,7:-4, -12, -6, -14, 8, 2, 8, 12
-9,8:-4, -12, -6, -14, 8, 8, 8, 20
-5,10:-4, -12, -4, 6, -12, -14, 0, 18
-5,10:-4, -12, -4, 6, -12, -14, 18, 0
-5,10:-4, -12, -4, 6, -8, 2, 18, 4
-5,10:-4, -12, -4, 6, -8, 2, 18, 8
-5,10:-4, -12, -4, 6, -8, 8, 18, 2
-5,10:-4, -12, -4, 6, 2, -12, 18, 0
-5,10:-4, -12, -4, 6, 2, 2, 18, -4
-5,10:-4, -12, -4, 6, 2, 2, 18, 0
-5,10:-4, -12, -4, 6, 2, 4, 18, -8
-13,-1:-4, -12, -4, 6, 2, 16, -2, 14
5,9:-4, -12, 4, 4, 6, -8, 10, 6
-4,16:-4, -6, -14, 2, 8, -2, 26, 22
-4,16:-4, -6, -14, 2, 8, 26, 22, -2
7,-11:-4, -6, -14, 6, -4, -6, -16, 10
7,-11:-4, -6, -14, 6, -4, -6, 10, -16
7,-11:-4, -6, -14, 6, -4, 6, -4, -16
-2,-4:-4, -6, -14, 6, 6, 12, 16, 0
11,-3:-4, -6, -8, -2, -10, -20, -8, -12
11,-3:-4, -6, -8, -2, -10, -8, -12, -20
11,-8:-4, -6, -6, -16, -2, -20, -16, 8
11,-8:-4, -6, -6, -16, -2, -20, 8, -16
-8,-6:-4, -6, -6, -4, -10, 0, -2, 6
-8,-6:-4, -6, -6, -4, -10, 10, 0, 2
-8,-6:-4, -6, -6, -4, -10, 10, 0, 4
-8,-6:-4, -6, -6, -4, -10, 10, 0, 6
13,-11:-4, -6, -6, 2, -10, -12, 2, 4
13,-11:-4, -6, -6, 2, -10, -12, 2, 6
13,-11:-4, -6, -6, 2, -10, -12, 4, -2
4,12:-4, -6, -6, 2, -10, 4, 22, 22
-2,-4:-4, -6, 6, 6, 12, 14, 0, 14
8,-16:-4, -4, -8, -18, -4, -14, -8, -16
-1,4:-4, -4, -8, -12, -16, -10, 4, 8
-1,4:-4, -4, -8, -12, -16, 4, 8, -10
-1,4:-4, -4, -8, -12, -16, 4, 8, -4
14,-4:-4, -4, -8, -12, -12, -16, 14, 8
14,-4:-4, -4, -8, -12, -12, -16, 14, 10
14,-4:-4, -4, -8, -12, -12, -16, 14, 12
14,-4:-4, -4, -8, -12, -12, -6, 6, -16
6,14:-4, -4, -8, -2, -12, 0, -10, 10
12,1:-4, -4, -6, -14, -2, 4, -2, -4
5,-3:-4, -4, 2, 8, -12, -18, -20, -26
5,-3:-4, -4, 2, 8, -12, -18, -20, -24
5,-3:-4, -4, 2, 8, -12, -18, -20, -22
5,-3:-4, -4, 2, 8, -12, -16, -14, -14
5,-3:-4, -4, 2, 8, -12, -16, -14, -10
5,-3:-4, -4, 2, 8, -12, -16, -12, -14
13,-2:-4, -4, 2, 8, -12, -16, -12, -4
5,-3:-4, -4, 2, 8, -12, -16, -8, -12
5,-3:-4, -4, 2, 8, -12, -16, -8, -10
5,-3:-4, -4, 2, 8, -12, -16, -8, -8
13,-2:-4, -4, 2, 8, -12, -16, -4, -12
5,-3:-4, -4, 2, 10, 8, -12, -14, 4
5,-3:-4, -4, 2, 10, 8, -12, -14, 8
