6,-3:-4, -12, -6, -4, -4, 8, -12, 6
6,-3:-4, -12, -6, -4, -4, 8, -12, 8
6,-3:-4, -12, -6, -4, -4, 8, -12, 10
6,-3:-4, -12, -6, -4, -4, 8, 6, -12
6,-3:-4, -12, -6, -4, -4, 8, 6, -10
6,-3:-4, -12, -6, -4, -4, 8, 6, -8
11,16:-4, -4, -14, 8, 6, 8, -4, -4
11,16:-4, -4, -14, 8, 6, 8, -4, 0
7,10:-4, 0, -12, -10, 6, 4, 6, -6
7,10:-4, 0, -12, -10, 6, 4, 6, -4
7,10:-4, 0, -12, -10, 6, 4, 6, -2
7,10:-4, 0, -12, 6, 4, 6, -12, -20
7,10:-4, 0, -12, 6, 4, 6, -12, -16
7,10:-4, 0, -12, 6, 4, 6, -10, -20
7,10:-4, 0, -12, 6, 4, 6, -8, -30
7,10:-4, 0, -12, 6, 4, 6, -8, -20
7,10:-4, 0, -12, 6, 4, 6, -4, -10
7,10:-4, 0, -12, 6, 4, 6, -4, -6
6,1:-4, 4, -8, -16, 6, 0, 14, -6
