-1,-2:-4, 4, -10, -12, -14
-3,11:6, 6, 8, 10, 22
-2,-3:-4, -6, -4, -10, 0, -4
6,-1:-4, 0, -8, -4, -12, -12
-12,16:-4, -14, -8, 20, 22, 24, 36
8,14:-4, -14, 14, -2, 0, 2, 14
12,6:-4, -4, -8, -12, 0, -6, 10
12,6:-4, -4, -8, -12, 0, -6, 12
12,6:-4, -4, -8, -12, 0, -6, 14
4,-3:-4, -4, -6, -2, -8, -30, -2
4,-3:-4, -4, -6, -2, -8, -2, -30
9,4:-4, 0, -12, -12, 6, 4, -6
-2,13:-4, 0, -8, -10, 8, -8, 10
6,-1:-4, 0, -8, -4, -12, -16, -12
5,0:-4, 0, -8, -4, 2, 6, 0
-2,13:-4, 0, -8, 8, -8, 10, -10
-2,13:-4, 0, -8, 8, -8, 10, -6
1,-8:-4, 0, 4, 6, -18, -8, -12
7,10:-4, 0, 8, 4, 6, -8, -12
5,7:-4, 2, 2, -8, -4, -2, 10
5,4:-4, 4, -10, -12, 6, -14, 2
-5,0:-4, 4, -8, -16, -6, -10, -2
-5,0:-4, 4, -8, -16, -6, -10, 0
-5,0:-4, 4, -8, -16, -6, -10, 2
-5,0:-4, 4, -8, -16, -6, -2, -14
-5,0:-4, 4, -8, -16, -6, -2, -12
-5,0:-4, 4, -8, -16, -6, -2, -10
-5,0:-4, 4, -8, -16, -6, 0, -10
6,-1:-4, 4, -8, -16, 2, -6, -10
8,-2:-4, 4, -8, -16, 6, 10, -2
2,1:6, -4, -4, 4, -10, -12, -14
0,14:6, -4, 6, 6, 8, 10, 22
5,8:6, 6, -2, -2, -2, -6, 16
5,8:6, 6, -2, -2, -2, 16, -6
-1,-3:6, 6, 2, 10, -2, -12, 8
-1,-3:6, 6, 2, 10, -2, -12, 12
-1,-3:6, 6, 2, 10, -2, 8, -12
-3,11:6, 6, 6, -6, 10, 22, -6
-3,11:6, 6, 6, -4, 10, 22, -8
-3,11:6, 6, 6, -4, 10, 22, 2
-3,11:6, 6, 6, 4, 10, 22, 2
-3,11:6, 6, 6, 10, 22, -2, -4
-3,11:6, 6, 6, 10, 22, -2, -2
-3,11:6, 6, 6, 10, 22, -2, 0
-3,6:6, 6, 8, -4, 4, -16, 6
-3,6:6, 6, 8, -4, 4, 6, -16
-3,6:6, 6, 8, -4, 4, 6, -14
-3,6:6, 6, 8, -4, 4, 6, -12
8,14:-4, -14, 10, -2, 0, 2, 14, 16
7,14:-4, -14, 10, -2, 6, 0, 12, -2
7,14:-4, -14, 10, -2, 6, 0, 12, 0
-1,-1:-4, -12, -14, -4, -4, -10, -18, 6
-1,-1:-4, -12, -14, -4, -4, -10, 6, -18
-1,-1:-4, -12, -14, -4, -4, -10, 6, -14
-6,9:-4, -12, -14, -4, 6, -12, 4, -8
-6,9:-4, -12, -14, -4, 6, -12, 4, -6
-2,-1:-4, -12, -6, -16, -6, -10, 8, -6
5,-7:-4, -12, -6, -2, 8, 6, 0, 12
1,3:-4, -12, -4, -8, -6, -4, -2, 10
-1,-1:-4, -12, -4, -4, -10, -18, 6, -14
-1,-1:-4, -12, -4, -4, -10, -18, 6, -4
-6,9:-4, -12, -4, 6, -12, 4, -10, -10
-6,9:-4, -12, -4, 6, -12, 4, -8, -12
-6,9:-4, -12, -4, 6, -12, 4, -8, -2
-6,9:-4, -12, -4, 6, -12, 4, -6, -8
-6,9:-4, -12, -4, 6, -12, 4, -6, -6
-6,9:-4, -12, -4, 6, -12, 4, -6, -4
-6,9:-4, -12, -4, 6, -12, 4, 0, -2
-6,10:-4, -6, -14, -2, 8, 10, 12, 24
16,-5:-4, -6, -14, 6, -4, 6, 8, -6
2,-3:-4, -6, -14, 6, -4, 10, -4, -8
2,-3:-4, -6, -14, 6, -4, 10, -4, -6
2,-3:-4, -6, -14, 6, -4, 10, -4, -4
2,-8:-4, -6, -8, -16, -16, -14, -6, -2
5,2:-4, -6, -8, -10, -20, -2, -8, -6
5,2:-4, -6, -8, -10, -2, -8, -6, -20
5,2:-4, -6, -8, -10, -2, -8, -6, -10
7,6:-4, -6, -6, -14, 0, -2, 6, -12
-6,-3:-4, -6, -6, -4, 8, -2, 8, 10
-1,-2:-4, -6, -6, 0, -6, -6, 0, -4
1,-6:-4, -6, 0, -8, -2, -16, -18, -20
6,1:-4, -6, 6, 10, -10, 6, 6, -2
12,6:-4, -4, -8, -12, 0, -6, 18, 12
12,6:-4, -4, -8, -12, 0, -6, 18, 14
12,6:-4, -4, -8, -12, 0, -6, 18, 16
4,-11:-4, -4, -8, -10, -12, -16, 4, 4
4,-11:-4, -4, -8, -10, -12, -16, 4, 6
-2,-4:-4, -4, -8, -4, -12, -4, 6, 4
-2,-4:-4, -4, -6, -16, -4, 12, -4, -12
