8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 8, 18
8,7:-4, -14, -12, 10, 10, 16, 20, 0, 0, 18, 8
2,0:-4, -6, 6, 10, -4, 2, 2, 8, -4, 0, 2
12,16:-4, 2, 2, -14, -10, 4, 12, 12, 12, 14, -6
8,-4:-4, 2, 2, -14, 6, -12, -4, -4, -4, -2, -22
14,-1:-4, 2, 6, -14, -18, -22, 4, -22, -24, -32, -6
14,-1:-4, 2, 6, -14, -18, -22, 4, -22, -24, -6, -32
14,-1:-4, 2, 6, -14, -18, -22, 4, -22, -24, -6, -22
14,-1:-4, 2, 6, -14, -18, -22, 4, -22, -14, -6, -32
20,11:-4, 2, 6, 0, -4, -18, -28, -28, -14, -24, -18
5,3:6, 6, -2, 12, 10, 18, 12, 2, 20, 20, 4
