8,-1:-4, 2, 2
-1,-1:-4, 4, -14
-1,-1:-4, -12, -14, 2
-1,-1:-4, -12, -14, 6
-4,5:6, 6, 8, 2
-1,-1:-4, -12, -14, 4, -4
-1,-1:-4, -12, -14, 4, -2
-1,-1:-4, -12, -14, 4, 0
10,3:-4, -12, -4, 2, 2
-1,-1:-4, 4, -2, -14, -12
-1,-1:-4, 4, -2, -14, -6
-1,-1:-4, 4, -2, -12, -14
6,-5:-4, 4, -2, -12, 0
2,2:6, -4, -4, -6, -14
11,2:6, -4, -4, 2, 2
2,2:6, -4, -4, 4, -14
-4,5:6, 6, -4, 2, 4
-4,5:6, 6, -4, 2, 14
-13,10:-4, -14, -8, 20, 22, 16
7,8:-4, -14, 14, -2, 0, -6
-1,-1:-4, -12, -14, -4, -4, 4
-1,-1:-4, -12, -14, -4, -2, -4
-1,-1:-4, -12, -14, -4, -2, -2
-1,-1:-4, -12, -14, -4, -2, 0
-1,-1:-4, -12, -14, -4, 2, -10
-1,-1:-4, -12, -14, -4, 2, 0
-1,-1:-4, -12, -14, 4, 4, -2
-1,-1:-4, -12, -14, 4, 4, 0
-1,-1:-4, -12, -14, 4, 4, 2
1,-5:-4, -6, 0, -8, -12, -20
10,-5:-4, -6, 0, -8, -4, -4
1,-5:-4, -6, 0, -8, -2, -20
6,-4:-4, -6, 6, -2, -10, 14
6,-4:-4, -6, 6, -2, -10, 16
6,-4:-4, -6, 6, -2, -10, 18
13,-5:-4, -6, 6, -2, 14, -12
6,-4:-4, -6, 6, -2, 14, -10
4,1:-4, 2, 2, -8, -4, -10
-1,-1:-4, 4, -10, -8, -6, -14
1,11:-4, 4, -10, 6, 4, 0
-1,-1:-4, 4, -2, -14, -8, -8
-1,-1:-4, 4, -2, -14, -8, -6
-1,-1:-4, 4, -2, -14, -8, -4
6,-5:-4, 4, -2, -12, -2, 2
6,-5:-4, 4, -2, -12, -2, 4
6,-5:-4, 4, -2, -12, -2, 6
-1,-1:-4, 4, 4, -6, -14, 14
2,2:6, -4, -4, -12, -14, 2
2,2:6, -4, -4, -12, -14, 6
-1,8:6, -4, 6, 6, 8, 2
7,0:6, 6, -2, -4, 16, 2
8,7:6, 6, -2, 4, 8, 8
-4,5:6, 6, -2, 12, 0, 12
-4,5:6, 6, -2, 12, 0, 14
-4,5:6, 6, -2, 12, 0, 16
-4,5:6, 6, -2, 12, 12, 0
-4,5:6, 6, 8, -4, -2, -4
-4,5:6, 6, 8, -4, -2, -2
-4,5:6, 6, 8, -4, -2, 0
-4,5:6, 6, 8, -4, 2, -10
-4,5:6, 6, 8, -4, 2, 0
7,0:6, 6, 8, -4, 2, 6
7,0:6, 6, 8, -4, 2, 16
-8,7:6, 6, 8, 10, 2, 10
-8,7:6, 6, 8, 10, 2, 20
-8,7:6, 6, 8, 10, 4, 16
-8,7:6, 6, 8, 10, 20, 2
-8,7:6, 6, 8, 10, 20, 6
2,8:6, 6, 8, 10, 20, 22
13,5:-4, -14, -12, 14, -12, -14, -22
22,5:-4, -14, -12, 14, -12, -6, -6
13,5:-4, -14, -12, 14, -12, -4, -22
-7,7:-4, -14, -8, 10, 10, 8, 0
2,7:-4, -14, -8, 10, 10, 16, 16
-7,7:-4, -14, -8, 10, 10, 18, 0
-13,10:-4, -14, -8, 20, 10, 16, 18
-13,10:-4, -14, -8, 20, 10, 16, 28
7,8:-4, -14, 10, -2, 0, -6, 12
7,8:-4, -14, 10, -2, 0, -6, 14
7,8:-4, -14, 10, -2, 0, -6, 16
-7,7:-4, -14, 10, 10, 8, 0, -8
-7,7:-4, -14, 10, 10, 8, 0, -6
-7,7:-4, -14, 10, 10, 8, 0, -4
2,7:-4, -14, 10, 10, 16, 16, -8
2,7:-4, -14, 10, 10, 16, 16, -6
2,7:-4, -14, 10, 10, 16, 16, -4
7,8:-4, -14, 14, -2, -12, -6, -4
7,8:-4, -14, 14, -2, -12, -6, 6
-1,-1:-4, -12, -14, -4, -4, -6, 0
-1,-1:-4, -12, -14, -4, -4, -6, 2
-1,-1:-4, -12, -14, -4, -4, -6, 4
-1,-1:-4, -12, -14, -4, -4, 0, -6
-1,-1:-4, -12, -14, -4, -4, 0, -4
-1,-1:-4, -12, -14, -4, -4, 0, -2
-1,-1:-4, -12, -14, -4, -2, -8, -6
-1,-1:-4, -12, -14, -4, -2, -8, -4
-1,-1:-4, -12, -14, -4, -2, -8, -2
-1,-1:-4, -12, -14, 4, -6, -8, 0
-1,-1:-4, -12, -14, 4, 4, -6, -4
-1,-1:-4, -12, -14, 4, 4, -6, -2
-1,-1:-4, -12, -14, 4, 4, -6, 0
7,-4:-4, -12, -8, -14, -10, -6, -6
7,-4:-4, -12, -8, -14, -10, -6, -4
7,-4:-4, -12, -8, -14, -10, -6, -2
10,-5:-4, -12, -8, -14, 0, -20, -8
0,-3:-4, -12, -4, -8, -6, -4, -10
15,1:-4, -12, -4, -4, -10, -4, 2
15,1:-4, -12, -4, -4, -10, -2, 0
10,3:-4, -12, -4, 2, 6, 6, 10
13,2:-4, -12, 4, -6, 0, 0, 2
5,5:-4, -12, 4, 4, -8, -18, -20
5,5:-4, -12, 4, 4, -8, -18, -10
-7,4:-4, -6, -14, -2, 8, 10, 4
8,8:-4, -6, -14, 6, -2, -22, -16
8,8:-4, -6, -14, 6, -2, -22, -6
8,8:-4, -6, -14, 6, -2, -16, -22
8,8:-4, -6, -14, 6, -2, -16, -14
7,-7:-4, -6, -8, -20, -20, -20, -28
16,-7:-4, -6, -8, -20, -20, -12, -12
7,-7:-4, -6, -8, -20, -20, -10, -28
13,0:-4, -6, -8, -18, -20, -10, -4
13,0:-4, -6, -8, -18, -10, -4, -20
1,-14:-4, -6, -8, -16, -16, -22, -6
1,-14:-4, -6, -8, -16, -16, -22, 4
1,-14:-4, -6, -8, -16, -16, -6, -22
16,-5:-4, -6, -8, -2, -2, -16, -12
16,-5:-4, -6, -8, -2, -2, -16, -10
16,-5:-4, -6, -8, -2, -2, -16, -8
1,-5:-4, -6, 0, -8, -18, -20, -4
1,-5:-4, -6, 0, -8, -18, -20, 0
6,-4:-4, -6, 6, -2, -10, 22, 16
6,-4:-4, -6, 6, -2, -10, 22, 18
6,-4:-4, -6, 6, -2, -10, 22, 20
5,5:-4, -6, 6, 0, -8, -18, 10
5,5:-4, -6, 6, 0, -8, 10, -18
