3,2:-4, 4, -10, -8, -16, -18, -18, -10, -6, -2
2,-7:-4, -6, 0, -2, -30, -4, -12, -12, -12, -14, 6
22,-3:-4, -6, 0, -2, -14, -20, -28, -28, -28, -30, -10
2,-7:-4, -6, 0, -2, -30, -4, -12, -12, -12, -20, 6, -6
2,-7:-4, -6, 0, -2, -30, -4, -12, -12, -12, -20, 6, -2
22,-3:-4, -6, 0, -2, -14, -20, -28, -28, -28, -36, -10, -22
22,-3:-4, -6, 0, -2, -14, -20, -28, -28, -28, -36, -10, -18
17,8:-4, -6, 6, 0, 14, 0, -4, -12, -12, -12, -14, 6
1,-7:-4, 4, -10, -12, -12, -12, -4, -4, -4, 2, -20, -18
6,5:6, -4, -4, 4, -10, -8, -16, -18, -18, -10, -6, -2
14,20:6, 6, -4, -4, 2, 6, 20, 26, 30, 16, 26, 20
2,14:6, 6, -4, -4, 16, -2, 16, 24, 24, 16, 8, 34
2,14:6, 6, -4, -4, 16, -2, 16, 24, 24, 16, 34, 8
2,14:6, 6, -4, -4, 16, -2, 16, 24, 24, 26, 8, 24
2,14:6, 6, -4, -4, 16, -2, 16, 24, 24, 26, 8, 34
-1,8:6, 6, -4, 0, 16, -12, 14, 6, 6, 6, 4, 24
19,12:6, 6, -4, 0, 16, 4, -2, -10, -10, -10, -12, 8
3,2:6, 6, 8, -4, -8, 0, 6, 0, -10, 6, 2, 0
10,8:6, 6, 16, -8, -8, -18, -18, 14, 2, -16, 2, -6
10,8:6, 6, 16, -8, -8, -18, -18, 14, 2, 2, -6, -16
