2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, -2, 8
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 2, 8
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 2, 18
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 6, 6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 2
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -2
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -4
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -2
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, 0
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -12
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -10
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -2
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -10
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -16
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -12
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -14
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -12
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -10
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, -2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -6, -10
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, -4
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, -2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, 0
