-2,3:-4, -6, 6, -8, -12, -14, 6
-2,3:-4, -6, 6, -8, -12, 6, -14
-2,3:-4, -6, 6, -8, -8, 6, -18
-2,3:-4, -6, 6, -8, -8, 6, -12
4,-8:-4, -6, 6, 10, -4, -6, 6
4,-8:-4, -6, 6, 10, -4, -6, 8
4,-8:-4, -6, 6, 10, -4, -6, 10
4,-8:-4, -6, 6, 10, -4, 6, -6
4,-8:-4, -6, 6, 10, -4, 6, -4
4,-8:-4, -6, 6, 10, -4, 6, -2
10,-4:-4, 2, 6, 0, 14, -12, -4
10,-4:-4, 2, 6, 0, 14, -4, -12
-6,5:6, 6, 8, -4, -8, 6, 4
-2,3:-4, -12, 4, 6, -8, -18, 6, -20
-2,3:-4, -12, 4, 6, -8, -18, 6, -10
-2,3:-4, -6, 6, -8, -18, -20, 6, -8
-2,3:-4, -6, 6, -8, -18, -20, 6, -6
-2,3:-4, -6, 6, -8, -18, -20, 6, -4
-2,3:-4, -6, 6, -8, -10, -20, 6, -12
-2,3:-4, -6, 6, -8, -10, -20, 6, -10
-2,3:-4, -6, 6, -8, -10, -20, 6, -8
-2,3:-4, -6, 6, -8, -8, -16, 6, -20
-2,3:-4, -6, 6, -8, -8, -16, 6, -18
-2,3:-4, -6, 6, -8, -8, -16, 6, -16
4,-8:-4, -6, 6, 10, -4, -6, 2, 4
4,-8:-4, -6, 6, 10, -4, -6, 2, 6
4,-8:-4, -6, 6, 10, -4, -6, 2, 8
-2,3:-4, 2, 6, -14, -18, -18, 6, 2
-2,3:-4, 2, 6, -14, -18, -6, 6, -18
-2,3:-4, 2, 6, -14, -18, -6, 6, -8
-2,3:-4, 2, 6, -14, -18, 2, 6, -18
-2,3:-4, 2, 6, -14, -18, 2, 6, -16
-2,3:-4, 2, 6, -14, -18, 2, 6, -14
-2,3:-4, 2, 6, -8, 6, 4, -36, -20
-2,3:-4, 4, -10, -12, 6, -14, 6, -6
-2,3:-4, 4, -10, -12, 6, -14, 6, -4
7,-5:6, -4, -4, -6, 6, 10, -4, -2
-2,11:6, 6, -4, -4, 2, -12, 6, 14
-2,11:6, 6, -4, -4, 2, -12, 14, 6
-6,5:6, 6, 8, -4, -8, -8, 6, 4
-6,5:6, 6, 8, -4, -8, -8, 6, 6
-6,5:6, 6, 8, -4, -8, -8, 6, 8
-6,5:6, 6, 8, -4, -8, 6, 6, -8
-6,5:6, 6, 8, -4, -8, 6, 6, -6
-6,5:6, 6, 8, -4, -8, 6, 6, -4
5,-1:6, 6, 8, -4, -4, 10, 10, 14
5,-1:6, 6, 8, -4, -4, 10, 10, 20
5,-1:6, 6, 8, -4, -4, 10, 14, 16
5,-1:6, 6, 8, -4, 10, 10, 14, -4
-15,10:-4, -14, -8, 20, 22, 10, 6, 20, 18
-8,11:-4, -14, 10, 10, 16, 20, 0, 4, 20
-8,11:-4, -14, 10, 10, 16, 20, 0, 20, 4
-8,11:-4, -14, 10, 10, 16, 20, 0, 20, 6
5,8:-4, -14, 14, -2, 0, -12, -16, -2, -4
13,0:-4, -12, -8, -14, 0, -14, -24, -8, -12
-2,3:-4, -12, 4, 6, -8, -14, -10, 6, -14
10,-20:-4, -6, -8, -16, -28, -28, -28, -8, -24
10,-20:-4, -6, -8, -16, -28, -28, -8, -24, -28
6,-12:-4, -6, 0, -8, -12, 0, 4, -10, -8
-2,3:-4, -6, 6, -8, -18, -20, 0, 6, -6
-2,3:-4, -6, 6, -8, -18, -20, 0, 6, -4
-2,3:-4, -6, 6, -8, -18, -20, 0, 6, -2
-2,3:-4, -6, 6, -8, -18, -14, -24, 6, -10
-2,3:-4, -6, 6, -8, -18, -14, -10, 6, -24
-2,3:-4, -6, 6, -8, -18, -14, -10, 6, -14
-2,3:-4, -6, 6, -8, -12, -24, -20, 6, -8
-2,3:-4, -6, 6, -8, -12, -24, -20, 6, -6
-2,3:-4, -6, 6, -8, -12, -24, -8, 6, -20
-2,3:-4, -6, 6, -8, -12, -24, -8, 6, -14
-2,3:-4, -6, 6, -8, -10, -20, -4, 6, -10
-2,3:-4, -6, 6, -8, -10, -20, -4, 6, -8
-2,3:-4, -6, 6, -8, -10, -20, -4, 6, -6
-2,3:-4, -6, 6, -8, -8, -22, -16, 6, -24
-2,3:-4, -6, 6, -8, -8, -16, -24, 6, -22
-2,3:-4, -6, 6, -8, -8, -16, -24, 6, -20
-2,3:-4, -6, 6, -8, -8, -16, -24, 6, -18
-2,3:-4, -6, 6, -8, 0, -12, -20, 6, -2
4,-8:-4, -6, 6, 10, -4, -6, 2, 12, 6
4,-8:-4, -6, 6, 10, -4, -6, 2, 12, 8
4,-8:-4, -6, 6, 10, -4, -6, 2, 12, 10
4,-8:-4, -6, 6, 10, -4, -6, 12, 14, 6
4,-8:-4, -6, 6, 10, -4, 2, -2, -2, 4
4,-8:-4, -6, 6, 10, -4, 2, -2, -2, 14
4,-8:-4, -6, 6, 10, -4, 2, -2, 4, -2
4,-8:-4, -6, 6, 10, -4, 2, -2, 4, 2
7,-6:-4, 2, 0, -8, -14, -8, -4, 2, -12
0,2:-4, 2, 0, -8, -14, 2, -2, -2, 4
13,-5:-4, 2, 0, -8, -4, -16, -16, -2, 2
13,-5:-4, 2, 0, -8, -4, -16, -2, 2, -16
2,1:-4, 2, 2, -8, -4, -16, -20, -6, -8
-2,3:-4, 2, 6, -14, -22, -6, -8, 6, -20
