10,-5:-4, -6, -8, -20
5,-5:-4, -6, 6, -2, -4, 14
5,-5:-4, -6, 6, -2, -4, 16
5,-5:-4, -6, 6, -2, -4, 18
5,-5:-4, -6, 6, -2, 14, -4
7,3:-4, 4, 4, 4, -14, 8
7,3:-4, 4, 4, 4, 8, -14
13,-2:6, -4, -4, -6, -8, -20
0,0:6, 6, -2, 12, 12, 16
12,-9:-4, -6, 0, -8, -12, -14, -26
5,-5:-4, -6, 6, -2, -4, 22, 16
5,-5:-4, -6, 6, -2, -4, 22, 18
5,-5:-4, -6, 6, -2, -4, 22, 20
4,-6:-4, 2, 6, 0, 14, -16, -16
4,-6:-4, 2, 6, 0, 14, -16, -14
4,-6:-4, 2, 6, 0, 14, -16, -12
4,-6:-4, 2, 6, 0, 14, -12, -14
4,-6:-4, 2, 6, 0, 14, -12, -12
24,1:-4, -14, -12, 14, -12, -14, -16, -28
4,3:-4, -14, -8, 10, 10, 8, 6, -6
-9,5:-4, -14, -8, 20, 12, 26, 26, 30
11,3:-4, -14, 14, -2, -10, 4, 4, 8
10,6:-4, -12, -14, -4, -4, -6, 6, 2
10,-5:-4, -12, 4, 4, -6, -8, -20, -4
10,-5:-4, -12, 4, 4, -6, -8, -20, -2
10,-5:-4, -12, 4, 4, -6, -8, -20, 0
5,-13:-4, -6, -14, 6, -2, -16, -12, -4
5,-13:-4, -6, -14, 6, -2, -16, -12, 0
5,-13:-4, -6, -14, 6, -2, -16, -4, -12
18,-11:-4, -6, -8, -20, -20, -20, -22, -34
3,-7:-4, -6, -8, -10, -2, -8, -2, -8
-3,-5:-4, -6, 0, -2, -30, -4, -12, -4
-3,-5:-4, -6, 0, -2, -30, -4, -12, 2
17,-1:-4, -6, 0, -2, -14, -20, -28, -20
17,-1:-4, -6, 0, -2, -14, -20, -28, -14
0,-2:-4, -6, 6, -8, -12, -14, 0, 4
0,-2:-4, -6, 6, -8, -8, 0, 4, -18
0,-2:-4, -6, 6, -8, -8, 0, 4, -12
5,-5:-4, -6, 6, -2, -4, 12, 10, 18
5,-5:-4, -6, 6, -2, -4, 22, 12, 14
5,-5:-4, -6, 6, -2, -4, 22, 12, 16
5,-5:-4, -6, 6, -2, -4, 22, 12, 18
-4,5:-4, -6, 6, 0, -8, -4, 0, 14
8,-4:-4, 2, 2, -8, -14, 0, 0, 4
4,-6:-4, 2, 6, 0, 14, -16, -8, -14
4,-6:-4, 2, 6, 0, 14, -16, -8, -12
4,-6:-4, 2, 6, 0, 14, -16, -8, -10
4,-6:-4, 2, 6, 0, 14, -12, -16, -14
4,-6:-4, 2, 6, 0, 14, -12, -16, -12
4,-6:-4, 2, 6, 0, 14, -12, -16, -10
10,-5:-4, 4, 4, -6, 4, -8, -20, 10
10,-5:-4, 4, 4, -6, 4, -8, -20, 20
10,-5:-4, 4, 4, 4, 6, -8, -20, 4
10,-5:-4, 4, 4, 4, 6, -8, -20, 14
8,-2:-4, 4, 6, 6, -4, -16, -2, -2
8,-2:-4, 4, 6, 6, -4, -2, -2, -16
8,-2:6, -4, -4, -6, 6, -2, -4, 14
8,-2:6, -4, -4, -6, 6, -2, -4, 16
8,-2:6, -4, -4, -6, 6, -2, -4, 18
8,-2:6, -4, -4, -6, 6, -2, 14, -4
10,6:6, -4, -4, 4, 4, 4, -14, 8
10,6:6, -4, -4, 4, 4, 4, 8, -14
16,1:6, -4, 6, -4, -4, -6, -8, -20
3,3:6, -4, 6, 6, -2, 12, 12, 16
9,6:6, 6, -4, 0, 10, 6, 4, -8
6,6:6, 6, -2, -4, 12, 12, 16, 0
16,9:6, 6, 16, -16, 4, 2, 0, -12
11,3:-4, -14, 10, -2, -10, 4, 4, 8, 12
11,3:-4, -14, 10, -2, -10, 4, 4, 8, 14
11,3:-4, -14, 10, -2, -10, 4, 4, 8, 16
-5,-1:-4, -14, 10, 10, 16, 20, 18, 16, 16
-5,-1:-4, -14, 10, 10, 16, 20, 18, 16, 18
-5,-1:-4, -14, 10, 10, 16, 20, 18, 16, 20
7,6:-4, -14, 10, 20, 10, 10, 8, 6, -6
15,-2:-4, -12, -14, 4, -6, -8, -10, -22, -4
15,-2:-4, -12, -14, 4, -6, -8, -10, -22, 0
15,-2:-4, -12, -14, 4, -6, -8, -10, 0, -22
0,0:-4, -12, -8, -14, -22, -22, -16, -16, -16
0,0:-4, -12, -8, -14, -22, -22, -16, -16, -6
6,-9:-4, -12, -8, -4, -2, -2, 6, -2, -10
15,4:-4, -12, -8, -2, -14, -20, -14, -16, 6
17,-10:-4, -12, -4, -8, -16, -16, -18, -20, -32
4,-8:-4, -12, -4, -8, -6, -14, 0, 0, 4
4,-6:-4, -12, 4, -6, -8, 6, -10, -14, 6
4,-6:-4, -12, 4, -6, -8, 6, -10, 6, -14
10,-5:-4, -12, 4, 4, -6, -8, -20, 4, -2
10,-5:-4, -12, 4, 4, -6, -8, -20, 4, 0
10,-5:-4, -12, 4, 4, -6, -8, -20, 4, 2
0,-2:-4, -12, 4, 6, -8, -18, 0, 4, -20
0,-2:-4, -12, 4, 6, -8, -18, 0, 4, -10
10,-3:-4, -6, -14, -2, -2, -2, -4, -6, -18
-3,-1:-4, -6, -14, -2, 8, 0, 14, 14, 18
5,-13:-4, -6, -14, 6, -2, -16, -12, -2, 2
5,-13:-4, -6, -14, 6, -2, -16, -12, -2, 4
5,-13:-4, -6, -14, 6, -2, -16, -12, -2, 6
7,2:-4, -6, -14, 6, 0, 8, 4, 2, -10
10,-1:-4, -6, -14, 6, 4, 0, -2, -4, -16
0,5:-4, -6, -14, 6, 6, 12, 18, 8, 4
14,-13:-4, -6, -8, -18, -4, -14, -18, -20, -32
6,-3:-4, -6, -8, -16, -28, -24, -8, 2, -12
6,-3:-4, -6, -8, -16, -28, -24, -8, 2, -10
5,-19:-4, -6, -8, -16, -26, -12, -12, -8, -6
5,-19:-4, -6, -8, -16, -26, -12, -12, -8, 4
5,-19:-4, -6, -8, -16, -26, -12, -12, -6, -8
8,-3:-4, -6, -8, -2, -2, -16, -6, -10, 0
7,-9:-4, -6, 0, -8, -12, 0, -8, -10, 8
7,-9:-4, -6, 0, -8, -12, 0, -8, -10, 10
7,-9:-4, -6, 0, -8, -12, 0, -8, -10, 12
7,-9:-4, -6, 0, -8, -12, 0, -8, 8, -10
9,-1:-4, -6, 0, -8, -2, -2, -2, -20, 2
9,-1:-4, -6, 0, -8, -2, -2, -2, 2, -20
22,7:-4, -6, 6, -8, -12, -16, -18, -20, 0
0,-2:-4, -6, 6, -8, -10, -20, 0, 4, -12
0,-2:-4, -6, 6, -8, -10, -20, 0, 4, -10
0,-2:-4, -6, 6, -8, -10, -20, 0, 4, -8
0,-2:-4, -6, 6, -8, -8, -16, 0, 4, -20
0,-2:-4, -6, 6, -8, -8, -16, 0, 4, -18
0,-2:-4, -6, 6, -8, -8, -16, 0, 4, -16
-4,-3:-4, -6, 6, -2, -14, 12, 10, 8, -4
5,-5:-4, -6, 6, -2, -4, 12, 10, 2, 12
5,-5:-4, -6, 6, -2, -4, 12, 10, 2, 16
5,-5:-4, -6, 6, -2, -4, 12, 10, 16, 2
5,-5:-4, -6, 6, -2, -4, 12, 10, 16, 12
5,-5:-4, -6, 6, -2, -4, 12, 18, 18, 4
