13,8:-4, -14, 10, 10, 8, 6, -2, -12, 12, -4
15,0:-4, 4, -10, 2, -16, -18, -6, -14, -22, -24, -14
10,5:-4, -12, -14, 4, -6, -8, 4, -4, -12, -14, -4, 6
23,-4:-4, -6, -8, -18, -10, -10, -16, -10, -8, -26, -36, -12
23,-4:-4, -6, -8, -18, -10, -10, -16, -10, -8, -26, -12, -36
23,-4:-4, -6, -8, -18, -10, -10, -16, -10, -8, -26, -12, -34
6,-3:-4, -6, 6, -8, -12, -24, -16, -8, -8, 0, -2, -8
6,-3:-4, -6, 6, -8, -12, -16, -8, -8, 0, -2, -8, -24
6,-3:-4, -6, 6, -8, -12, -16, -8, -8, 0, -2, -8, -22
6,-3:-4, -6, 6, -8, -12, -16, -8, -8, 0, -2, -8, -20
2,7:-4, 2, 0, -8, -4, -2, -10, -6, -8, -8, 4, 6
2,7:-4, 2, 0, -8, -4, -2, -10, -6, -8, 4, 6, -8
13,-2:-4, 2, 6, -8, -14, -16, 4, -10, 10, 6, 6, -6
6,8:-4, 2, 6, 0, -8, -16, -16, -14, -10, -14, 6, 8
6,8:-4, 2, 6, 0, -8, -16, -16, -14, -10, 6, 8, -14
6,8:-4, 2, 6, 0, -8, -16, -16, -14, -10, 6, 8, -4
10,11:-4, 2, 6, 4, 10, 0, -8, 4, 2, 2, 4, 2
16,11:6, -4, -4, -14, 10, 10, 8, 6, -2, -12, 12, -4
3,8:6, 6, -2, -4, -2, 10, 6, -2, 6, -4, 6, 6
