5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 0
5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 2
5,-2:-4, -6, 0, -2, -30, -4, 2, -2, -2, 4
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -16
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -14
25,2:-4, -6, 0, -2, -14, -20, -14, -18, -18, -12
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, -4
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, -2
15,21:-4, 2, 2, -14, -10, 4, -2, 2, 2, 0
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -20
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -18
11,1:-4, 2, 2, -14, 6, -12, -18, -14, -14, -16
