-1,-2:-4, 4, -10, -12, -14
-3,11:6, 6, 8, 10, 22
-12,16:-4, -14, -8, 20, 22, 24, 36
8,14:-4, -14, 14, -2, 0, 2, 14
5,7:-4, 2, 2, -8, -4, -2, 10
5,4:-4, 4, -10, -12, 6, -14, 2
2,1:6, -4, -4, 4, -10, -12, -14
0,14:6, -4, 6, 6, 8, 10, 22
5,8:6, 6, -2, -2, -2, -6, 16
5,8:6, 6, -2, -2, -2, 16, -6
-3,6:6, 6, 8, -4, 4, -16, 6
-3,6:6, 6, 8, -4, 4, 6, -16
-3,6:6, 6, 8, -4, 4, 6, -14
-3,6:6, 6, 8, -4, 4, 6, -12
8,14:-4, -14, 10, -2, 0, 2, 14, 16
-1,-1:-4, -12, -14, -4, -4, -10, -18, 6
-1,-1:-4, -12, -14, -4, -4, -10, 6, -18
-1,-1:-4, -12, -14, -4, -4, -10, 6, -14
1,3:-4, -12, -4, -8, -6, -4, -2, 10
-1,-1:-4, -12, -4, -4, -10, -18, 6, -14
-1,-1:-4, -12, -4, -4, -10, -18, 6, -4
-6,10:-4, -6, -14, -2, 8, 10, 12, 24
2,-8:-4, -6, -8, -16, -16, -14, -6, -2
5,2:-4, -6, -8, -10, -20, -2, -8, -6
5,2:-4, -6, -8, -10, -2, -8, -6, -20
5,2:-4, -6, -8, -10, -2, -8, -6, -10
1,-6:-4, -6, 0, -8, -2, -16, -18, -20
6,1:-4, -6, 6, 10, -10, 6, 6, -2
13,12:-4, 2, 2, -14, -10, 4, 12, -2
13,12:-4, 2, 2, -14, -10, 4, 12, 4
9,-8:-4, 2, 2, -14, 6, -12, -4, -18
9,-8:-4, 2, 2, -14, 6, -12, -4, -12
5,-2:-4, 2, 6, 0, 14, -4, -6, -10
8,8:-4, 4, -10, 0, -8, -6, -4, 8
37,-8:-4, 4, -10, 2, -16, -26, -48, -8
37,-8:-4, 4, -10, 2, -16, -26, -48, -6
37,-8:-4, 4, -10, 2, -16, -26, -48, -4
37,-8:-4, 4, -10, 2, -16, -26, -8, -48
5,14:-4, 4, 6, 4, -8, -14, -8, -10
-4,5:6, 6, -4, -4, 2, -12, 14, 14
-4,5:6, 6, -4, -4, 2, -12, 14, 16
-4,5:6, 6, -4, -4, 2, -12, 18, 14
-4,5:6, 6, -4, -4, 2, -12, 18, 16
-4,5:6, 6, -4, -4, 2, -12, 18, 18
-3,6:6, 6, 8, -4, 4, -20, 6, -18
-3,6:6, 6, 8, -4, 4, -20, 6, -16
-3,6:6, 6, 8, -4, 4, -20, 6, -14
-7,13:6, 6, 8, 2, 10, 14, 16, 28
11,17:-4, -14, -12, -2, 14, -2, 0, 2, 14
13,4:-4, -14, -12, 14, -12, -4, -18, -20, -22
-7,6:-4, -14, -8, 10, 10, 18, 4, 2, 0
-9,19:-4, -14, -8, 10, 20, 20, 22, 24, 36
-4,13:-4, -14, -8, 20, 12, 12, 12, 8, 30
-4,13:-4, -14, -8, 20, 12, 12, 12, 30, 8
-12,11:-4, -14, -8, 20, 22, 10, 18, -2, 20
-12,11:-4, -14, -8, 20, 22, 10, 18, 20, -2
-12,11:-4, -14, -8, 20, 22, 10, 18, 20, 0
-12,11:-4, -14, -8, 20, 22, 10, 18, 20, 2
8,14:-4, -14, 10, -2, 0, 2, 14, 20, 16
8,14:-4, -14, 10, -2, 0, 2, 14, 20, 18
-7,6:-4, -14, 10, 10, 18, 4, 2, 0, -8
-7,6:-4, -14, 10, 10, 18, 4, 2, 0, -6
-7,6:-4, -14, 10, 10, 18, 4, 2, 0, -4
16,11:-4, -14, 14, -2, -10, -10, -10, -14, 8
16,11:-4, -14, 14, -2, -10, -10, -10, 8, -14
8,9:-4, -14, 14, -2, 0, -12, -4, -24, -2
8,9:-4, -14, 14, -2, 0, -12, -4, -2, -24
8,9:-4, -14, 14, -2, 0, -12, -4, -2, -22
8,9:-4, -14, 14, -2, 0, -12, -4, -2, -20
-1,-1:-4, -12, -14, -4, -4, -10, -16, 6, -12
-1,-1:-4, -12, -14, -4, -4, -10, -16, 6, -10
-1,-1:-4, -12, -14, -4, -4, -10, -16, 6, -8
-8,9:-4, -12, -14, -4, 4, 2, -4, 8, 14
-8,9:-4, -12, -14, -4, 4, 2, 8, 14, -4
-8,9:-4, -12, -14, -4, 4, 2, 8, 14, 0
-1,2:-4, -12, -8, -14, -20, -14, -10, -4, -12
4,14:-4, -12, -4, -2, 2, 4, 6, 18, 2
7,11:-4, -12, -4, 2, 2, -6, -2, 0, 12
7,-12:-4, -12, 4, -6, -14, -8, -2, -12, -22
2,14:-4, -12, 4, 4, 4, 6, 8, 20, 2
7,-8:-4, -6, -8, -20, -20, -10, -24, -26, -28
1,-14:-4, -6, -8, -16, -28, -28, -22, -36, 2
25,3:-4, -6, 6, -8, -18, -10, 4, -16, -12
17,-4:-4, -6, 6, -8, 0, 2, -10, -24, -10
17,-4:-4, -6, 6, -8, 0, 2, -10, -10, -24
6,-10:-4, -6, 6, 0, -8, 14, -16, -20, -26
6,-10:-4, -6, 6, 0, -8, 14, -16, -20, -24
6,-10:-4, -6, 6, 0, -8, 14, -16, -20, -22
6,-10:-4, -6, 6, 0, -8, 14, -16, -18, -14
6,-10:-4, -6, 6, 0, -8, 14, -16, -18, -12
6,-10:-4, -6, 6, 0, -8, 14, -16, -18, -10
-4,0:-4, -6, 6, 0, 8, 4, -4, 0, 10
13,4:-4, 2, 2, -8, -14, -14, -14, -18, 4
13,4:-4, 2, 2, -8, -14, -14, -14, 4, -18
5,2:-4, 2, 2, -8, -4, -16, -8, -6, -28
5,2:-4, 2, 2, -8, -4, -16, -8, -6, -26
5,2:-4, 2, 2, -8, -4, -16, -8, -6, -24
4,-8:-4, 2, 6, -8, 6, 4, -36, 2, -20
11,6:-4, 2, 6, 4, 10, 10, -6, 4, 8
11,6:-4, 2, 6, 4, 10, 10, -6, 4, 18
11,6:-4, 2, 6, 4, 10, 10, -6, 8, 4
11,6:-4, 2, 6, 4, 10, 10, -6, 8, 6
11,6:-4, 2, 6, 4, 10, 10, -6, 8, 8
1,2:-4, 2, 6, 6, 2, -4, -14, 2, 10
1,2:-4, 2, 6, 6, 2, -4, 2, 10, -14
1,2:-4, 2, 6, 6, 2, -4, 2, 10, -4
-7,7:-4, 4, -10, -12, -14, 4, 8, 10, 22
37,-8:-4, 4, -10, 2, -16, -26, -48, -12, -10
37,-8:-4, 4, -10, 2, -16, -26, -48, -12, -8
37,-8:-4, 4, -10, 2, -16, -26, -48, -12, -6
3,3:-4, 4, -2, -12, 0, -10, -6, -4, 8
-9,16:-4, 4, 4, -6, 4, -8, 22, 4, 22
-9,16:-4, 4, 4, -6, 4, -8, 22, 22, 4
-9,16:-4, 4, 4, -6, 4, -8, 22, 22, 6
-9,16:-4, 4, 4, -6, 4, -8, 22, 22, 8
9,4:-4, 4, 4, 6, 6, 4, 10, -6, -14
9,4:-4, 4, 4, 6, 6, 4, 10, -6, -12
9,4:-4, 4, 4, 6, 6, 4, 10, -6, -10
4,-2:-4, 4, 6, 4, -8, -4, -10, -14, -8
