1,2:6
4,2:-5, -6
3,3:-5, 5
3,3:6, -4
2,4:6, 7
6,3:-5, -6, -7
5,4:-5, -6, 4
5,4:-5, 5, -5
4,5:-5, 5, 6
-8,7:-4, -14, -9
-8,7:-4, -14, -8
-8,7:-4, -14, -7
-8,7:-4, -14, -6
-8,7:-4, -14, -5
-8,7:-4, -14, -4
12,5:-4, -14, 13
12,5:-4, -14, 14
12,5:-4, -14, 15
12,5:-4, -14, 16
12,5:-4, -14, 17
12,5:-4, -14, 18
9,8:-4, 7, -25
9,8:-4, 7, -24
9,8:-4, 7, -23
9,8:-4, 7, -22
9,8:-4, 7, -21
9,8:-4, 7, -20
11,-12:-4, 7, -3
11,-12:-4, 7, -2
11,-12:-4, 7, -1
11,-12:-4, 7, 0
11,-12:-4, 7, 1
11,-12:-4, 7, 2
-12,11:5, -6, -1
-12,11:5, -6, 0
-12,11:5, -6, 1
-12,11:5, -6, 2
-12,11:5, -6, 3
-12,11:5, -6, 4
8,9:5, -6, 21
8,9:5, -6, 22
8,9:5, -6, 23
8,9:5, -6, 24
8,9:5, -6, 25
8,9:5, -6, 26
5,12:5, 15, -17
5,12:5, 15, -16
5,12:5, 15, -15
5,12:5, 15, -14
5,12:5, 15, -13
5,12:5, 15, -12
7,-8:5, 15, 5
7,-8:5, 15, 6
7,-8:5, 15, 7
7,-8:5, 15, 8
7,-8:5, 15, 9
7,-8:5, 15, 10
4,5:6, 7, -3
3,6:6, 7, 8
8,4:-5, -6, -7, -8
7,5:-5, -6, -7, 3
7,5:-5, -6, 4, -6
6,6:-5, -6, 4, 5
-6,8:-5, -5, -15, -10
-6,8:-5, -5, -15, -9
-6,8:-5, -5, -15, -8
-6,8:-5, -5, -15, -7
-6,8:-5, -5, -15, -6
-6,8:-5, -5, -15, -5
14,6:-5, -5, -15, 12
14,6:-5, -5, -15, 13
14,6:-5, -5, -15, 14
14,6:-5, -5, -15, 15
14,6:-5, -5, -15, 16
14,6:-5, -5, -15, 17
11,9:-5, -5, 6, -26
11,9:-5, -5, 6, -25
11,9:-5, -5, 6, -24
11,9:-5, -5, 6, -23
11,9:-5, -5, 6, -22
11,9:-5, -5, 6, -21
13,-11:-5, -5, 6, -4
13,-11:-5, -5, 6, -3
13,-11:-5, -5, 6, -2
13,-11:-5, -5, 6, -1
13,-11:-5, -5, 6, 0
13,-11:-5, -5, 6, 1
-10,12:-5, 4, -7, -2
-10,12:-5, 4, -7, -1
-10,12:-5, 4, -7, 0
-10,12:-5, 4, -7, 1
-10,12:-5, 4, -7, 2
-10,12:-5, 4, -7, 3
10,10:-5, 4, -7, 20
10,10:-5, 4, -7, 21
10,10:-5, 4, -7, 22
10,10:-5, 4, -7, 23
10,10:-5, 4, -7, 24
10,10:-5, 4, -7, 25
7,13:-5, 4, 14, -18
7,13:-5, 4, 14, -17
7,13:-5, 4, 14, -16
7,13:-5, 4, 14, -15
7,13:-5, 4, 14, -14
7,13:-5, 4, 14, -13
9,-7:-5, 4, 14, 4
9,-7:-5, 4, 14, 5
9,-7:-5, 4, 14, 6
9,-7:-5, 4, 14, 7
9,-7:-5, 4, 14, 8
9,-7:-5, 4, 14, 9
6,6:-5, 5, 6, -4
5,7:-5, 5, 6, 7
-8,7:-4, -14, -12, -10
-8,7:-4, -14, -12, -9
-8,7:-4, -14, -12, -8
-8,7:-4, -14, -12, -7
-8,7:-4, -14, -12, -6
-8,7:-4, -14, -12, -5
14,6:-4, -14, -12, 13
14,6:-4, -14, -12, 14
14,6:-4, -14, -12, 15
14,6:-4, -14, -12, 16
14,6:-4, -14, -12, 17
14,6:-4, -14, -12, 18
-6,8:-4, -14, -9, 10
-7,9:-4, -14, -9, 21
-8,7:-4, -14, -1, -8
-8,7:-4, -14, -1, -7
