-1,0:-4, -6, -13, -5, -25
-1,0:-4, -6, -13, -5, -24
-1,0:-4, -6, -13, -5, -23
-1,0:-4, -6, -13, -5, -22
-1,0:-4, -6, -13, -5, -21
5,-6:-4, -6, 6, -2, 14
5,-6:-4, -6, 6, -2, 15
5,-6:-4, -6, 6, -2, 16
5,-6:-4, -6, 6, -2, 17
5,-6:-4, -6, 6, -2, 18
5,-6:-4, -6, 6, -2, 19
-5,4:5, 2, -5, 3, -18
-5,4:5, 2, -5, 3, -17
-5,4:5, 2, -5, 3, -16
-5,4:5, 2, -5, 3, -15
-5,4:5, 2, -5, 3, -14
-5,4:5, 2, -5, 3, -13
1,-2:5, 2, 14, 6, 22
1,-2:5, 2, 14, 6, 23
1,-2:5, 2, 14, 6, 24
1,-2:5, 2, 14, 6, 25
1,-2:5, 2, 14, 6, 26
1,-2:5, 2, 14, 6, 27
1,1:-5, -5, -7, -14, -6, -27
1,1:-5, -5, -7, -14, -6, -26
1,1:-5, -5, -7, -14, -6, -25
1,1:-5, -5, -7, -14, -6, -24
1,1:-5, -5, -7, -14, -6, -23
1,1:-5, -5, -7, -14, -6, -22
7,-5:-5, -5, -7, 5, -3, 13
7,-5:-5, -5, -7, 5, -3, 14
7,-5:-5, -5, -7, 5, -3, 15
7,-5:-5, -5, -7, 5, -3, 16
7,-5:-5, -5, -7, 5, -3, 17
7,-5:-5, -5, -7, 5, -3, 18
-3,5:-5, 4, 1, -6, 2, -19
-3,5:-5, 4, 1, -6, 2, -18
-3,5:-5, 4, 1, -6, 2, -17
-3,5:-5, 4, 1, -6, 2, -16
-3,5:-5, 4, 1, -6, 2, -15
-3,5:-5, 4, 1, -6, 2, -14
3,-1:-5, 4, 1, 13, 5, 21
3,-1:-5, 4, 1, 13, 5, 22
3,-1:-5, 4, 1, 13, 5, 23
3,-1:-5, 4, 1, 13, 5, 24
3,-1:-5, 4, 1, 13, 5, 25
3,-1:-5, 4, 1, 13, 5, 26
5,10:-4, -14, 10, 10, 17, 20
5,10:-4, -14, 10, 10, 17, 21
5,10:-4, -14, 10, 10, 17, 22
5,10:-4, -14, 10, 10, 17, 23
5,10:-4, -14, 10, 10, 17, 24
5,10:-4, -14, 10, 10, 17, 25
10,5:-4, -13, -14, -4, -1, 6
10,5:-4, -11, -14, 4, -11, 8
11,-13:-4, -11, -8, -11, -4, -21
3,-5:-4, -11, -8, -11, -4, -8
2,11:-4, -11, 3, 10, 2, -14
2,11:-4, -11, 3, 10, 2, -8
2,11:-4, -11, 3, 10, 2, -3
2,11:-4, -11, 3, 10, 2, 0
-1,0:-4, -6, -13, -5, -29, -27
-1,0:-4, -6, -13, -5, -29, -26
-1,0:-4, -6, -13, -5, -29, -25
-1,0:-4, -6, -13, -5, -29, -24
-1,0:-4, -6, -13, -5, -29, -23
-1,0:-4, -6, -13, -5, -29, -22
-1,0:-4, -6, -13, -5, -18, -25
-1,0:-4, -6, -13, -5, -18, -24
-1,0:-4, -6, -13, -5, -18, -23
-1,0:-4, -6, -13, -5, -18, -22
-1,0:-4, -6, -13, -5, -18, -21
-1,0:-4, -6, -13, -5, -18, -20
10,-13:-4, -6, -13, -2, -20, 1
10,-13:-4, -6, -13, -2, -20, 2
10,-13:-4, -6, -13, -2, -20, 3
10,-13:-4, -6, -13, -2, -20, 4
10,-13:-4, -6, -13, -2, -20, 5
10,-13:-4, -6, -13, -2, -20, 6
2,-5:-4, -6, -13, -2, -7, 2
2,-5:-4, -6, -13, -2, -7, 3
2,-5:-4, -6, -13, -2, -7, 4
2,-5:-4, -6, -13, -2, -7, 5
2,-5:-4, -6, -13, -2, -7, 6
10,-13:-4, -6, -13, -2, 1, -20
2,-5:-4, -6, -13, -2, 1, -7
0,-3:-4, -6, 6, -5, -13, 0
-8,5:-4, -6, 6, -5, -13, 13
0,-3:-4, -6, 6, -5, 0, -13
0,-3:-4, -6, 6, -5, 0, -12
0,-3:-4, -6, 6, -5, 0, -11
0,-3:-4, -6, 6, -5, 0, -10
0,-3:-4, -6, 6, -5, 0, -9
-8,5:-4, -6, 6, -5, 13, -13
-8,5:-4, -6, 6, -5, 13, -12
-8,5:-4, -6, 6, -5, 13, -11
-8,5:-4, -6, 6, -5, 13, -10
-8,5:-4, -6, 6, -5, 13, -9
-8,5:-4, -6, 6, -5, 13, -8
5,-6:-4, -6, 6, -2, 11, 13
5,-6:-4, -6, 6, -2, 11, 14
5,-6:-4, -6, 6, -2, 11, 15
5,-6:-4, -6, 6, -2, 11, 16
5,-6:-4, -6, 6, -2, 11, 17
5,-6:-4, -6, 6, -2, 11, 18
5,-6:-4, -6, 6, -2, 22, 15
5,-6:-4, -6, 6, -2, 22, 16
5,-6:-4, -6, 6, -2, 22, 17
5,-6:-4, -6, 6, -2, 22, 18
5,-6:-4, -6, 6, -2, 22, 19
5,-6:-4, -6, 6, -2, 22, 20
10,5:-4, 2, -3, -6, 7, -13
16,-3:-4, 4, -10, -17, -9, -7
16,-3:-4, 4, -10, -17, -9, -4
16,-3:-4, 4, -10, -17, -9, 1
16,-3:-4, 4, -10, -17, -9, 7
0,-2:-4, 4, 1, -1, -3, 1
-8,6:-4, 4, 1, -1, -3, 14
10,5:-4, 4, 7, -11, -3, -15
15,0:-4, 7, -17, -17, -24, -32
15,0:-4, 7, -17, -17, -24, -31
15,0:-4, 7, -17, -17, -24, -30
15,0:-4, 7, -17, -17, -24, -29
15,0:-4, 7, -17, -17, -24, -28
15,0:-4, 7, -17, -17, -24, -27
1,14:5, -6, 18, 18, 25, 28
1,14:5, -6, 18, 18, 25, 29
1,14:5, -6, 18, 18, 25, 30
1,14:5, -6, 18, 18, 25, 31
1,14:5, -6, 18, 18, 25, 32
1,14:5, -6, 18, 18, 25, 33
6,9:5, -5, -6, 4, 7, 14
6,9:5, -3, -6, 12, -3, 16
7,-9:5, -3, 0, -3, 4, -13
-1,-1:5, -3, 0, -3, 4, 0
-2,15:5, -3, 11, 18, 10, -6
-2,15:5, -3, 11, 18, 10, 0
-2,15:5, -3, 11, 18, 10, 5
-2,15:5, -3, 11, 18, 10, 8
-5,4:5, 2, -5, 3, -21, -19
-5,4:5, 2, -5, 3, -21, -18
-5,4:5, 2, -5, 3, -21, -17
-5,4:5, 2, -5, 3, -21, -16
-5,4:5, 2, -5, 3, -21, -15
-5,4:5, 2, -5, 3, -21, -14
-5,4:5, 2, -5, 3, -10, -17
-5,4:5, 2, -5, 3, -10, -16
-5,4:5, 2, -5, 3, -10, -15
-5,4:5, 2, -5, 3, -10, -14
-5,4:5, 2, -5, 3, -10, -13
-5,4:5, 2, -5, 3, -10, -12
6,-9:5, 2, -5, 6, -12, 9
6,-9:5, 2, -5, 6, -12, 10
6,-9:5, 2, -5, 6, -12, 11
6,-9:5, 2, -5, 6, -12, 12
6,-9:5, 2, -5, 6, -12, 13
6,-9:5, 2, -5, 6, -12, 14
-2,-1:5, 2, -5, 6, 1, 10
-2,-1:5, 2, -5, 6, 1, 11
-2,-1:5, 2, -5, 6, 1, 12
-2,-1:5, 2, -5, 6, 1, 13
-2,-1:5, 2, -5, 6, 1, 14
6,-9:5, 2, -5, 6, 9, -12
-2,-1:5, 2, -5, 6, 9, 1
-4,1:5, 2, 14, 3, -5, 8
-12,9:5, 2, 14, 3, -5, 21
-4,1:5, 2, 14, 3, 8, -5
-4,1:5, 2, 14, 3, 8, -4
-4,1:5, 2, 14, 3, 8, -3
-4,1:5, 2, 14, 3, 8, -2
-4,1:5, 2, 14, 3, 8, -1
-12,9:5, 2, 14, 3, 21, -5
-12,9:5, 2, 14, 3, 21, -4
-12,9:5, 2, 14, 3, 21, -3
-12,9:5, 2, 14, 3, 21, -2
-12,9:5, 2, 14, 3, 21, -1
-12,9:5, 2, 14, 3, 21, 0
1,-2:5, 2, 14, 6, 19, 21
1,-2:5, 2, 14, 6, 19, 22
1,-2:5, 2, 14, 6, 19, 23
1,-2:5, 2, 14, 6, 19, 24
1,-2:5, 2, 14, 6, 19, 25
1,-2:5, 2, 14, 6, 19, 26
1,-2:5, 2, 14, 6, 30, 23
1,-2:5, 2, 14, 6, 30, 24
1,-2:5, 2, 14, 6, 30, 25
1,-2:5, 2, 14, 6, 30, 26
1,-2:5, 2, 14, 6, 30, 27
1,-2:5, 2, 14, 6, 30, 28
6,9:5, 10, 5, 2, 15, -5
12,1:5, 12, -2, -9, -1, 1
12,1:5, 12, -2, -9, -1, 4
12,1:5, 12, -2, -9, -1, 9
12,1:5, 12, -2, -9, -1, 15
-4,2:5, 12, 9, 7, 5, 9
-12,10:5, 12, 9, 7, 5, 22
6,9:5, 12, 15, -3, 5, -7
11,4:5, 15, -9, -9, -16, -24
11,4:5, 15, -9, -9, -16, -23
11,4:5, 15, -9, -9, -16, -22
11,4:5, 15, -9, -9, -16, -21
11,4:5, 15, -9, -9, -16, -20
11,4:5, 15, -9, -9, -16, -19
0,2:6, -3, -5, -12, -4, -25
0,2:6, -3, -5, -12, -4, -24
0,2:6, -3, -5, -12, -4, -23
0,2:6, -3, -5, -12, -4, -22
0,2:6, -3, -5, -12, -4, -21
0,2:6, -3, -5, -12, -4, -20
6,-4:6, -3, -5, 7, -1, 15
6,-4:6, -3, -5, 7, -1, 16
6,-4:6, -3, -5, 7, -1, 17
6,-4:6, -3, -5, 7, -1, 18
6,-4:6, -3, -5, 7, -1, 19
