2,-4:-4, -13, -8, -14, -22, 1
2,-4:-4, -13, -8, -14, -20, 1
5,-1:-4, -13, -8, -2, -9, -5
8,-9:-4, -11, -13, 7, -2, -7
2,-13:-4, -11, -11, 0, 1, -5
-1,-3:-4, -11, -8, -15, -8, -11
5,-10:-4, -6, -13, 6, 1, 4
5,-10:-4, -6, -13, 6, 1, 9
5,-10:-4, -6, -13, 6, 1, 10
5,-10:-4, -6, -13, 6, 1, 15
4,4:5, -5, -1, 4, 15, 10
-2,0:5, -5, 0, -6, -14, 9
-2,0:5, -5, 0, -6, -12, 9
1,3:5, -5, 0, 6, -1, 3
4,-5:5, -3, -5, 15, 6, 1
-2,-9:5, -3, -3, 8, 9, 3
-5,1:5, -3, 0, -7, 0, -3
1,-6:5, 2, -5, 14, 9, 12
1,-6:5, 2, -5, 14, 9, 17
1,-6:5, 2, -5, 14, 9, 18
1,-6:5, 2, -5, 14, 9, 23
