2,15:-4, -14, 11, 18, 3
2,15:-4, -14, 11, 18, 6
6,4:-4, -11, -14, -5, 7
6,4:-4, -11, -14, -5, 8
6,4:-4, -11, -5, 7, -14
9,1:-4, 4, -2, -15, 7
9,1:-4, 4, -2, 7, -15
9,1:-4, 4, -2, 7, -14
20,-3:-4, 7, -18, -25, -13
20,-3:-4, 7, -18, -25, -10
20,-3:-4, 7, -18, -25, -9
-2,19:5, -6, 19, 26, 10
-2,19:5, -6, 19, 26, 11
-2,19:5, -6, 19, 26, 14
2,8:5, -3, -6, 3, 15
2,8:5, -3, -6, 3, 16
2,8:5, -3, 3, 15, -6
5,5:5, 12, 6, -7, 15
5,5:5, 12, 6, 15, -7
5,5:5, 12, 6, 15, -6
16,1:5, 15, -10, -17, -5
16,1:5, 15, -10, -17, -2
16,1:5, 15, -10, -17, -1
