8,-7:-4, -6, -13, -2, 1
8,-7:-4, -6, -13, -2, 2
8,-7:-4, -6, -13, -2, 3
8,-7:-4, -6, -13, -2, 4
8,-7:-4, -6, -13, -2, 5
8,-7:-4, -6, -13, -2, 6
-2,3:-4, -6, 6, -5, -13
-2,3:-4, -6, 6, -5, -12
-2,3:-4, -6, 6, -5, -11
-2,3:-4, -6, 6, -5, -10
-2,3:-4, -6, 6, -5, -9
-2,3:-4, -6, 6, -5, -8
-2,4:-4, 4, 1, -1, -3
5,-3:5, -3, 0, -3, 4
4,-3:5, 2, -5, 6, 9
4,-3:5, 2, -5, 6, 10
4,-3:5, 2, -5, 6, 11
4,-3:5, 2, -5, 6, 12
4,-3:5, 2, -5, 6, 13
4,-3:5, 2, -5, 6, 14
-6,7:5, 2, 14, 3, -5
-6,7:5, 2, 14, 3, -4
-6,7:5, 2, 14, 3, -3
-6,7:5, 2, 14, 3, -2
-6,7:5, 2, 14, 3, -1
-6,7:5, 2, 14, 3, 0
-6,8:5, 12, 9, 7, 5
