-5,0:-4, -6, -13, 6, -8, -22
-5,0:-4, -6, -13, 6, -8, -17
-5,0:-4, -6, -13, 6, -8, -16
-5,0:-4, -6, -13, 6, -8, -11
4,0:-4, 2, 1, -5, 2, -2
1,-3:-4, 2, 1, 7, 11, -8
1,-3:-4, 2, 1, 7, 13, -8
5,3:-4, 2, 2, -3, -14, -9
2,-6:-4, 4, 1, 8, 1, 4
-8,-3:-4, 4, 4, -7, -13, -2
-8,7:5, 2, -6, 14, 3, 8
-9,4:5, 2, -5, 14, 0, -14
-9,4:5, 2, -5, 14, 0, -9
-9,4:5, 2, -5, 14, 0, -8
-9,4:5, 2, -5, 14, 0, -3
0,4:5, 10, 9, 3, 10, 6
-3,1:5, 10, 9, 15, 19, 0
-3,1:5, 10, 9, 15, 21, 0
1,7:5, 10, 10, 5, -6, -1
-2,-2:5, 12, 9, 16, 9, 12
-12,1:5, 12, 12, 1, -5, 6
