6,-10:-4, -6, -8, -7, -7, -8, -18, 12
6,-10:-4, -6, -8, -7, -7, -8, -18, 13
6,-10:-4, -6, -8, -7, -7, -8, -18, 14
6,-10:-4, -6, -8, -7, -7, -8, -18, 15
6,-10:-4, -6, -8, -7, -7, -8, -18, 16
6,-10:-4, -6, -8, -7, -7, -8, -18, 17
6,-10:-4, -6, -8, -7, -7, -8, 12, -18
6,-10:-4, -6, -8, -7, -7, -8, 12, -11
6,-10:-4, -6, -8, -7, -7, -8, 12, -8
6,-10:-4, -6, -8, -7, -7, -8, 12, -7
-5,3:5, -5, 0, 4, 16, 13, -4, -2
2,-6:5, 2, 0, 1, 1, 0, -10, 20
2,-6:5, 2, 0, 1, 1, 0, -10, 21
2,-6:5, 2, 0, 1, 1, 0, -10, 22
2,-6:5, 2, 0, 1, 1, 0, -10, 23
2,-6:5, 2, 0, 1, 1, 0, -10, 24
2,-6:5, 2, 0, 1, 1, 0, -10, 25
2,-6:5, 2, 0, 1, 1, 0, 20, -10
2,-6:5, 2, 0, 1, 1, 0, 20, -3
2,-6:5, 2, 0, 1, 1, 0, 20, 0
2,-6:5, 2, 0, 1, 1, 0, 20, 1
