9,-7:-4, -11, -8, -11, -4, -15
9,-7:-4, -11, -8, -11, -4, -14
-3,-1:-4, -6, -13, -17, -3, -6
-3,-1:-4, -6, -13, -17, -3, -5
8,-7:-4, -6, -13, -14, -2, 1
8,-7:-4, -6, -13, -14, -2, 2
8,-7:-4, -6, -13, -14, -2, 3
8,-7:-4, -6, -13, -14, -2, 4
8,-7:-4, -6, -13, -14, -2, 5
8,-7:-4, -6, -13, -14, -2, 6
8,-7:-4, -6, -13, -2, 1, -14
8,-7:-4, -6, -13, -2, 1, -13
-2,3:-4, -6, 6, -5, -13, 6
-2,3:-4, -6, 6, -5, -13, 7
-2,3:-4, -6, 6, -5, 6, -13
-2,3:-4, -6, 6, -5, 6, -12
-2,3:-4, -6, 6, -5, 6, -11
-2,3:-4, -6, 6, -5, 6, -10
-2,3:-4, -6, 6, -5, 6, -9
-2,3:-4, -6, 6, -5, 6, -8
4,-8:-4, -6, 6, 10, -4, -2
4,-8:-4, -6, 6, 10, -4, -1
-2,4:-4, 4, 1, -1, -3, 7
-2,4:-4, 4, 1, -1, -3, 8
-5,3:-4, 4, 6, 4, 5, -11
4,-6:5, -3, -5, -3, -4, 12
5,-3:5, -3, 0, -3, 4, -7
5,-3:5, -3, 0, -3, 4, -6
-7,3:5, 2, -5, -9, 5, 2
-7,3:5, 2, -5, -9, 5, 3
4,-3:5, 2, -5, -6, 6, 9
4,-3:5, 2, -5, -6, 6, 10
4,-3:5, 2, -5, -6, 6, 11
4,-3:5, 2, -5, -6, 6, 12
4,-3:5, 2, -5, -6, 6, 13
4,-3:5, 2, -5, -6, 6, 14
4,-3:5, 2, -5, 6, 9, -6
4,-3:5, 2, -5, 6, 9, -5
-6,7:5, 2, 14, 3, -5, 14
-6,7:5, 2, 14, 3, -5, 15
-6,7:5, 2, 14, 3, 14, -5
-6,7:5, 2, 14, 3, 14, -4
-6,7:5, 2, 14, 3, 14, -3
-6,7:5, 2, 14, 3, 14, -2
-6,7:5, 2, 14, 3, 14, -1
-6,7:5, 2, 14, 3, 14, 0
0,-4:5, 2, 14, 18, 4, 6
0,-4:5, 2, 14, 18, 4, 7
-6,8:5, 12, 9, 7, 5, 15
-6,8:5, 12, 9, 7, 5, 16
-9,7:5, 12, 14, 12, 13, -3
